model_region,activity,value
AT22,PIGF,0.152517783811958
AT22,SOWS,10.8426490794484
AT22,SHGM,6.75189444482232
AT22,SHGF,2.83043182826217
AT22,HENS,22013.4154753051
AT22,POUF,186.542771964293
AT22,OANI,266340.850603378
AT31,SWHE,21.7518979015081
AT31,DWHE,1954.51153195687
AT31,RYEM,49.7367450632307
AT31,BARL,11.9470247801072
AT31,OATS,27.3912953790563
AT31,CORN,36.4348611787094
AT31,OCER,22.1538500757295
AT31,RAPE,115.890687833542
AT31,SUNF,4100.37022386281
AT31,SOYA,100.470781965469
AT31,OOIL,68.725942569779
AT31,OIND,24167380.8498617
AT31,NURS,221004.072746487
AT31,FLOW,22151414.0486549
AT31,OCRO,12059.4938371896
AT31,MAIF,33.5248062652837
AT31,ROOF,46641.8407847824
AT31,OFAR,23.6905433293854
AT31,GRAE,2.25847607600337
AT31,GRAI,2.51183881537077
AT31,PULS,72.9346626636144
AT31,POTA,1227.79815174998
AT31,SUGB,373.338813960275
AT31,TEXT,27648.3313031254
AT31,TOBA,36304135.7743419
AT31,TOMA,45659417.0966649
AT31,OVEG,26106.7859863442
AT31,APPL,191908.064193231
AT31,OFRU,3660896.83024361
AT31,TWIN,6382632.36432335
AT31,FALL,56.618918317129
AT31,VSET,872.506798145069
AT31,DCOL,74.2506230282003
AT31,DCOH,110.766286445827
AT31,BULL,20.7295550568216
AT31,BULH,31.4490336862049
AT31,HEIL,73.7288534556079
