model_region,BULF,BULH,BULL,CAFF,CAFR,CALV,CAMF,CAMR,CATA,DCOH,DCOL,DCOW,GOAT,HEIF,HEIH,HEIL,HEIR,HENS,PIGF,PIGS,POUF,POUL,SCOW,SHEP,SHGF,SHGM,SHGT,SOWS
AT11,2.86619348825164,1.77307975182516,1.09311373642648,0.191536881324594,20.3377998906619,40.3959485868816,0.282317772816725,19.5842940420784,53.2824113920531,1.91674605696911,1.91674605991973,3.83349211688884,,0.827168057617184,0.54454811038051,0.282619947236674,2.50249781462213,0.175667765522214,28.6280150273119,44.3694178163471,0.301090881177287,0.476758646699502,2.85711132779178,,2.75487448290317,4.45144307112764,7.20631755403081,4.16376006643589
AT12,49.913212293103,32.1956003947196,17.7176118983834,4.44936794766741,95.8384879470439,199.233189588204,6.65515404025513,92.2901796532376,465.421794068407,51.4541254674979,51.4541254645473,102.908250932045,,19.1319982381201,12.9328141548715,6.19918408324854,56.1398058842138,1.94297390753485,493.658003552805,742.896773404819,2.5435611079733,4.48653501550815,38.0953371327209,,36.2251080670483,58.5337166996196,94.7588247666679,65.9348603505711
AT21,16.370529029753,10.7149700207709,5.65555900898202,2.42317611291268,21.2703533175985,47.7973119689709,3.61580579241484,20.4879767460449,187.456937363982,17.1709090323243,17.1709090323244,34.3418180646487,,15.1451844043387,9.35965698927603,5.78552741506263,26.5575977392062,0.711850426667595,79.3123264078851,110.495003408038,1.02183362073597,1.73368404740357,47.2444961570649,,20.2745933936434,32.767446455887,53.0420398495304,8.2498798512873
AT22,36.4864942473817,22.0643692947959,14.4221249525857,3.73901138498447,38.7963952367641,83.9975085313459,5.59273555474851,35.8693663548488,312.292732805962,40.7701855577324,40.7701855577324,81.5403711154648,,19.4252269881832,11.6470947580578,7.77813223012537,46.0610706760801,2.08648608887026,498.144936647796,713.299748520434,2.73151005233094,4.8179961412012,44.7820612475065,,30.4363740820035,49.187386774977,79.6237608569805,56.9289366566883
AT31,56.2002462338115,35.3736646719976,20.8265815618139,5.37267688584274,55.4926601130051,122.343705651275,8.04054733211272,53.4378213203148,481.084204385977,82.4026528191869,82.4026528191869,164.805305638374,,22.9326804649335,15.3328451371539,7.59983532777955,75.520325600099,1.51407584925579,721.99560238458,1099.44243526549,1.96100052664123,3.47507637589701,39.2819407974843,,34.6550800133504,56.0181453357272,90.6732253490776,99.8556352062017
AT32,6.94393360504376,4.66375496370794,2.28017864133582,1.74107974129122,18.1818064951663,40.0289761085163,2.59395716235668,17.5121327097021,173.3863367101,29.5072641471698,29.5072641471698,59.0145282943397,,17.6731788563379,11.2384105040969,6.43476835224105,30.9053531908718,0.00952970725352009,5.67617088857997,7.91038115943959,0.0797381529412739,0.0892678601947939,18.8203666549909,,15.0040792951399,24.2615596861373,39.2656389812772,0.591118117911465
AT33,8.24156807545086,5.71726272263861,2.52430535281225,2.09904672930311,25.3634359783512,55.0305951032703,3.12955142687288,24.4385609687431,197.243662514208,32.2107927412739,32.2107927412739,64.4215854825478,,20.1384524144747,13.6134353881977,6.52501702627697,36.317380128431,0.0665985274982096,7.57110334185573,12.4809635138782,0.0891996803859459,0.155798207884155,13.0940813100333,,38.3798718420972,62.0078076665323,100.387679508629,1.299851019059
AT34,3.09742636805452,2.14876680871062,0.948659559343899,0.734063819820269,7.95336681859308,17.4500897888498,1.10064781810934,7.66201133232708,69.0693788229985,12.7735122680533,12.7735122680533,25.5470245361066,,6.65606006701089,4.40667076685623,2.24938930015465,12.3216429199068,,4.21375042723667,5.46348568048855,,,3.99713514306989,,6.41290698910597,10.3616027990244,16.7745097881304,0.330466701577672
BE21,7.18523014532222,4.28720211494571,2.89802803037651,8.9987028970393,26.5798203947182,74.1661465325671,26.0725637607342,12.5150594800753,231.052976206631,41.4805116719784,41.4805116720046,82.961023343983,,1.90229636001302,1.0965803082166,0.805716051796423,49.9279788670435,2.25686465510431,649.954935684768,953.219967144658,3.38578185753401,5.64264651263831,14.9103009577021,,7.04670243287439,18.1305469070229,25.1772493398973,64.5436331210611
BE22,6.09983674815151,3.64751571055246,2.45232103759905,2.63894936498099,22.6697479982437,43.2554788435964,7.27391812087246,10.6728633594992,130.525125406614,18.901729116762,18.9017291167531,37.8034582335151,,1.47066122594079,0.847763599479305,0.622897626461487,27.8893555675801,0.886320747528985,263.620849784084,391.262110302803,1.33690358300258,2.22322433053157,14.0063347878303,,2.93006337208904,7.50311497551312,10.4331783476022,27.1666054217
