model_region,activity,nutrient,value
AT11,RUNTOT,P2O5,0.260919876961911
AT11,RUNTOT,K2O,0.529659754133359
AT11,RUNANI,N,0.429064564323791
AT11,RUNANI,P2O5,0.260919876961911
AT11,RUNANI,K2O,0.529659754133359
AT11,IMPORT,N,157.828583894067
AT11,IMPORT,P2O5,73.8832486132257
AT11,IMPORT,K2O,117.63655296895
AT11,EROSOI,P2O5,0.270402514889001
AT11,ARAB,N,126.173136965046
AT11,ARAB,P2O5,53.7679279885947
AT11,ARAB,K2O,76.2781085900732
AT11,CERE,N,141.807581458719
AT11,CERE,P2O5,64.4353255288995
AT11,CERE,K2O,87.4668861890847
AT11,PERM,N,39.5757128676122
AT11,PERM,P2O5,22.271489830305
AT11,PERM,K2O,42.1964482935282
AT11,FODD,N,90.6393054640458
AT11,FODD,P2O5,33.8955332960463
AT11,FODD,K2O,75.3751248375054
AT11,OILS,N,165.344504481707
AT11,OILS,P2O5,58.5499117299516
AT11,OILS,K2O,70.1340842259594
AT11,OAR1,N,189.815444392721
AT11,OAR1,P2O5,90.9104009048941
AT11,OAR1,K2O,161.406068662099
AT11,AGGT,N,100.156925293774
AT11,AGGT,P2O5,42.5080718842559
AT11,AGGT,K2O,61.2278767859856
AT11,UVAP,N,868.442990029324
AT11,UVAP,P2O5,1216.92145489874
AT11,UVAP,K2O,521.765800505071
AT11,UVAB,N,868.442990029324
AT11,UVAB,P2O5,1216.92145489874
AT11,UVAB,K2O,521.765800505071
AT11,UVAG,N,869.488960596043
AT11,UVAG,P2O5,1216.88402393197
AT11,UVAG,K2O,521.423949378288
AT11,EAAP,N,10.9813844169621
AT11,EAAP,P2O5,11.0069344015749
AT11,EAAP,K2O,5.72252207011087
AT11,EAAB,N,10.9813844169621
AT11,EAAB,P2O5,11.0069344015749
AT11,EAAB,K2O,5.72252207011087
AT11,EAAG,N,17.7022839737491
AT11,EAAG,P2O5,14.3631350819529
AT11,EAAG,K2O,9.07575251377559
AT11,UAAR,N,123.460162371526
AT11,UAAR,P2O5,52.398308369965
AT11,UAAR,K2O,75.4735989297732
AT11,CORF,N,0.866433188015065
AT11,CORF,P2O5,1.18353057331051
AT11,CORF,K2O,1.2116949625437
AT12,SWHE,N,121.955643150095
AT12,SWHE,P2O5,52.8474453650412
AT12,SWHE,K2O,103.662296677581
AT12,DWHE,N,123.305391871485
AT12,DWHE,P2O5,47.4954102023496
AT12,DWHE,K2O,97.7309402240656
AT12,RYEM,N,92.9520203259018
AT12,RYEM,P2O5,46.9809455591474
AT12,RYEM,K2O,97.4744851787917
AT12,BARL,N,106.08115970364
AT12,BARL,P2O5,53.374168404347
AT12,BARL,K2O,104.695484177758
AT12,OATS,N,85.4507582841296
AT12,OATS,P2O5,40.5200826106028
AT12,OATS,K2O,92.5148788808454
AT12,CORN,N,278.170322372429
AT12,CORN,P2O5,133.49505572762
AT12,CORN,K2O,83.4344098297627
AT12,OCER,N,113.016233944193
AT12,OCER,P2O5,36.8344106976199
AT12,OCER,K2O,76.4227960268375
AT12,RAPE,N,154.53615801006
AT12,RAPE,P2O5,84.2924498236688
AT12,RAPE,K2O,46.8291387909271
AT12,SUNF,N,122.12217289735
AT12,SUNF,P2O5,69.784098798486
AT12,SUNF,K2O,104.676148197729
AT12,SOYA,N,247.059978097853
AT12,SOYA,P2O5,68.1544767166492
AT12,SOYA,K2O,102.231715074974
AT12,OOIL,N,41.2904451137509
AT12,OOIL,P2O5,22.0215707273338
AT12,OOIL,K2O,22.0215707273338
AT12,OIND,N,400.0
AT12,OIND,P2O5,320.0
AT12,OIND,K2O,280.0
AT12,NURS,N,400.0
AT12,NURS,P2O5,265.836249874236
AT12,NURS,K2O,241.669318067487
AT12,FLOW,N,400.0
AT12,FLOW,P2O5,320.0
AT12,FLOW,K2O,280.0
AT12,OCRO,N,203.618953294774
AT12,OCRO,P2O5,72.2518866529842
AT12,OCRO,K2O,65.6835333208948
AT12,MAIF,N,195.218745042502
AT12,MAIF,P2O5,117.248495521022
AT12,MAIF,K2O,257.946690146249
AT12,ROOF,N,151.296566651585
AT12,ROOF,P2O5,75.6482833257924
AT12,ROOF,K2O,280.0
AT12,OFAR,N,113.982017956457
AT12,OFAR,P2O5,30.551942901459
AT12,OFAR,K2O,65.4684490745551
AT12,GRAE,N,57.5010594747002
AT12,GRAE,P2O5,20.894639981892
AT12,GRAE,K2O,48.7541599577481
AT12,GRAI,N,134.169138774301
AT12,GRAI,P2O5,48.7541599577481
AT12,GRAI,K2O,113.759706568079
AT12,PULS,N,111.004287704549
AT12,PULS,P2O5,32.4890598159655
