,count,mean,min,max,source
p_identHes,1,1.0,1.0,1.0,supply/declare_calibration_models_for_land_supply.gms
p_lucAnnualFac_sup,3,1.0,1.0,1.0,supply/prep_sim_luc.gms
p_watPar,10,0.316,0.0,1.0,water_database.gms
p_manureSellCostSlope,1,10.0,10.0,10.0,supply/define_manure_trade_costs.gms
p_manureBuyCostSlope,1,10.0,10.0,10.0,supply/define_manure_trade_costs.gms
p_manureSellCostConst,1,0.0,0.0,0.0,supply/define_manure_trade_costs.gms
p_manureBuyCostConst,1,0.0,0.0,0.0,supply/define_manure_trade_costs.gms
p_yieldChange,1,1.0,1.0,1.0,supply/endog_yields.gms
p_obsHa,1,0.0,0.0,0.0,supply/merel_corr.gms
p_uaaChgFactor,1,1.0,1.0,1.0,supply/pmp.gms
p_inflationFactor,1,1.0,1.0,1.0,supply/pmp.gms
p_assumedOwnPriceFeedElas,7,-3.9285714285714284,-10.0,-0.5,supply/pmp_elas.gms
p_assumedOwnSupplyElas,22,1.9318181818181819,0.1,20.0,supply/pmp_elas.gms
p_pmpSlopeForActivity,1,0.0,0.0,0.0,supply/pmp_terms/forecast_activity_slopes.gms
p_elasHigh,2,4.5,4.5,4.5,supply/pmp_terms/impose_upper_bound_on_elasticity.gms
p_ordFeed,1,0.0,0.0,0.0,supply/prep_cal.gms
p_shFstInSec,10,4.6501,0.001,40.0,supply/prep_sim_luc.gms
p_lucPrior,3,0.33333333666666665,0.0,1.0,supply/prep_sim_luc.gms
p_INFES,4,0.0,0.0,0.0,supply/widen_bounds.gms
p_needYieldUpdate,1,0.0,0.0,0.0,supply/yield_elas.gms
p_problem3D,2,0.0,0.0,0.0,util/delete_tiny_activity_level.gms
p_metaOnOff,1,1.0,1.0,1.0,util/meta_onoff.gms
p_irriFactor,1,0.0,0.0,0.0,water/irrigation_factors.gms
p_irriData,7,0.23,0.0,0.8,water_database.gms
p_wElaFac,3,6.933666666666666,0.001,20.0,water/load_water_data_and_scen.gms
p_watAGRate,3,0.0036666666666666666,0.0005,0.01,water_database.gms
