name,desc,source
INTERM_COCO_COLS_C,"Intermediate positions used by COCO and CAPREG, conventional",sets_organic_part1.gms
SET_DB_COLS_O,"CAPRI Data base columns, organic",sets_organic_part1.gms
SET_DB_COLS_C,"CAPRI Data base columns, conventional",sets_organic_part1.gms
CHcurrency,currencies relevant for Swiss data set,special_ch/create_final_db_expert_ch.gms
CHcheckReg,regions relevant for Swiss data set incl region CHoutlook,special_ch/create_final_db_expert_ch.gms
xCHini,Single items in demand estimation by F Goetze 2021,special_ch/sets_dem_ela_ch2021.gms
grpCHini,Group items in demand estimation by F Goetze 2021,special_ch/sets_dem_ela_ch2021.gms
topCHini,Top level items in demand estimation by A Kohler and F Goetze 2016,special_ch/sets_dem_ela_ch2021.gms
NUMP,Tertials with sugar price information for years 1998-2001,sugar/price_est.gms
SDF,Sugar beet price from FADN in MS of EU15: Original names are Apric+Bpric+Cpric,sugar/price_est.gms
sumOrPerha,Units for land rent of total land area are the total SUM or PERHA,supply/declare_calibration_models_for_land_supply.gms
threeyearsbas,three years around base year and bas,supply/declare_calibration_models_for_land_supply.gms
levlSet,Element levl as a one element set for loading p_datalnd,supply/declare_calibration_models_for_land_supply.gms
s_itemsPestiKeep,final pesticide items used in supply_model or elsewhere,supply/declare_sets_pesti.gms
itemsPestiAll,"All pesticide items useful in calibration, supply_model or elsewhere",supply/declare_sets_pesti.gms
stepAppl,steps in simulation of damage fct for display and analysis,supply/declare_sets_pesti.gms
fertbal_parts,fertiliser balance (nutned_) parts used in communication with gains,supply/def_supply_model_par.gms
diffelements,dimensions in a gdxdiff file,util/debug_stepbystep.gms
irriFactor,irrigation factors used to disaggregate crops into irrigated and rainfed,water/sets_water.gms
scenarioNames,names of the X23 test scenarios,x23_test_scens_reporting.gms
