name,desc,source
Stat,statistics on avgDat parameter are nObs + fst/lstObs + fst/lstAvg,fao/fao_balance_consolidation.gms
landCatUnfcccIni,UNFCCC based land categories,fao/fao_balance_consolidation.gms
landCatConsIni,land categories to be consolidated,fao/fao_balance_consolidation.gms
landCatAddIni,additional land categories in database assingments,fao/fao_balance_consolidation.gms
onlyImpExp,total trade positions as offered on trade matrix,fao/fao_balance_consolidation.gms
supPosIni,supply positions,fao/fao_balance_consolidation.gms
demPosIni,demand positions,fao/fao_balance_consolidation.gms
foodFatsProtIni,food in fat and protein eqv (Mt),fao/fao_balance_consolidation.gms
supPosIni_SUA,Supply position codes in SUA,fao/fao_balance_consolidation.gms
demPosIni_SUA,Demand position codes in SUA,fao/fao_balance_consolidation.gms
foodFatsProtIni_SUA,Protein and fat supply quantity,fao/fao_balance_consolidation.gms
PosIni_SUA,All initial Position codes in SUA,fao/fao_balance_consolidation.gms
usedMilkColsIni,used columns in Milktree,fao/fao_balance_consolidation.gms
MilkCols,columns in Milktree are also used in 2016 data,fao/fao_balance_consolidation.gms
rawMlk,raw milk positions,fao/fao_balance_consolidation.gms
rawMlkTmp,temporary raw milk positions for rebooking to fresh milk,fao/fao_balance_consolidation.gms
status,status of data completion is initial and final plus their % difference,fao/fao_balance_consolidation.gms
distanceType,distance types from cepii,fao/fao_proximity_index.gms
faoRALL,Regions,fao/fao_trade_sets.gms
faoP,Foodproducts and their aggregates,fao/fao_trade_sets.gms
PTE,Foodproducts in the estimation,fao/fao_trade_sets.gms
allGenModels,Groups of models solved in parallel,supply/def_supply_model_par.gms
Items,sets for FSS versus CAPRI statistics see GUI,farmtype/frm_sets.gms
SGMR,Regions with SGM information,inputs/sgm.gms
MMM,"Mean, min and max",inputs/sgm.gms
set_I_fadn,cost categories possible to link to capri groups,farmtype/frmb_consis_new_sets.gms
I_fadn_ext,cost categories possible to link to capri groups,farmtype/frmb_consis_new_sets.gms
ESU_G1,rules with esu 1,farmtype/frms_gm_sets_decl.gms
ESU_G2,rules with esu 2,farmtype/frms_gm_sets_decl.gms
ESU_G3,rules with esu 3,farmtype/frms_gm_sets_decl.gms
ESU_G4,rules with esu 4,farmtype/frms_gm_sets_decl.gms
FD_TYP_A25,distinct content of FADN database variable A25Typ9,farmtype/frmb_setss.gms
FD_ESU_A26,distinct content of A26 ESU9,farmtype/frmb_setss.gms
selectedIngredients,Some feedingstuff which ex-post prices are known,feed/est_feed_prices.gms
ANTYP,Animal types used to define manure output at tail,feed/feed_decl.gms
porkFinWgtHi,"Weight classes for pigs, high final weight",feed/feed_decl.gms
porkFinWgtLo,"Weight classes for pigs, low final weight",feed/feed_decl.gms
fertDistStats,"Dimensions for the fertdist, manure trade, and nutrient availability priors",fert/declare_fertdist_symbols.gms
fertModuleSettings,Switches for the fertilizer distribution module,fert/declare_fertdist_symbols.gms
fertDistRegulation,Restrictions on linear combinations of fertilizer flows,fert/declare_fertdist_symbols.gms
s_fertEff,Efficiency (coefficient) of fertilizer flow in nutNed_,fert/declare_fertdist_symbols.gms
s_fertLoss,Loss factor (gasRunTot) for nutrients,fert/declare_fertdist_symbols.gms
s_overFert,Overfertilization factors,fert/declare_fertdist_symbols.gms
s_nutNed_disagg,"Terms of the fertilizer balance NutNed_, in tons, by collecting terms",fert/declare_fertdist_symbols.gms
s_nutNed_disagg_perha,"Terms of the fertilizer balance NutNed_, per ha",fert/declare_fertdist_symbols.gms
s_nutNed_disagg_perha_to_total,"Mapping labels of fertilizer balance NutNed_, per ha from total",fert/declare_fertdist_symbols.gms
s_fertFactor_aggWeight,Aggregaton weight to use to aggregatge fertilizer efficiency factor,fert/declare_fertdist_symbols.gms
fertDim5,Items from fertilizer reporting stored in Dim5,fert/declare_fertdist_symbols.gms
SNS,soil nitrigen supply indices,fert/fert_capdis_decl.gms
CAPRI_crops_agg_ini,"crop aggregates as in global\ifa_to_croprows.gms, here ini",fert/mapping_fubc.gms
CAPRI_crops_rmsSup_ini,"Capri crops as in supply model, here ini",fert/mapping_fubc.gms
CAPRI_crops,Capri crops of supply and market model,fert/mapping_fubc.gms
CROP_ini,first mapping in FUBC data base,fert/mapping_fubc.gms
crop_all,FUBC data contains all kinds of set elements,fert/mapping_fubc.gms
FERT_DIST_ROWS,Fertiliser application rates,sets.gms
distPosDomain,Nutrient distribution positions and extra items,fert/post_report_fert_dist.gms
rows,Rows in the database,fert/post_report_fert_dist.gms
cols,Columns in the database,fert/post_report_fert_dist.gms
par,Parameters,fert/post_report_fert_dist.gms
FertDatSource,Source for mineral fertiliser data,fert_to_gdx.gms
FertByCrop90Yrs,Year with mineral fertiliser data from 90s,fert_to_gdx.gms
steps,calculation steps to final version,fert_to_gdx.gms
FUBC_country,country names as used by Nature,fert_to_gdx.gms
FUBC_crop,crop items as used by Nature,fert_to_gdx.gms
FUBC_area,"area columns in Nature database, totals",fert_to_gdx.gms
FUBC_fert_ha,hectare values in Nature database,fert_to_gdx.gms
FUBC_fert_total,total fertilizer by crop and region in Nature database,fert_to_gdx.gms
FUBC_col,all cloumns in Nature database,fert_to_gdx.gms
crfFertItems,CRF items to load from gdx,fert_to_gdx.gms
s_saact,Split animal activities including meat milk split,ghg_emission_factors_per_commodity/create_data/prepare_aglink_data/declarations.gms
s_oaact,"Other animal activities, no meat milk split",ghg_emission_factors_per_commodity/create_data/prepare_aglink_data/declarations.gms
TEMP,Temperature zone,ghg_emission_factors_per_commodity/create_data/prepare_aglink_data/declarations.gms
nfracpos,Coefficients for split activities for nitrogen,ghg_emission_factors_per_commodity/create_data/prepare_aglink_data/declarations.gms
solveInfo,Technical info about model solution,ghg_emission_factors_per_commodity/declarations.gms
tariffItems,tarrif items reported by AMMAD,global/aggreg_tariffs.gms
RG,Reference Groups,global/aggreg_tariffs_mac2.gms
RallPlusRG,rAll extended with reference groups for MACMAP tariff aggregation formula,global/aggreg_tariffs_mac2.gms
meth,Aggregation methodologies for tariffs,global/aggreg_tariffs_mac2.gms
agMainBioRegions,Main Aglink producer regions to define a global avg yield,global/biofuel_markets.gms
comtrade_tlines,HS code list for the IPTS-DataM extraction,global/comtrade_sets.gms
watUnit,unit of water related GLOBIOM (EPIC) items for CAPRI,global/convert_globiom.gms
UNUSED,Dummy set for reading so far unknown items from gdx,global/convert_globiom.gms
Bas00AndBAS,base year 2000 and the actual one,global/f2050_impact.gms
MS_WBA_short,WBA countries with their 2 digit (short) code,global/create_final_marketdb.gms
allScen,"All potentially available long-run Globiom, FAO (or other) scenarios",global/create_longrun_info.gms
allYears,All years potentially including nonzero data from any long run source,global/create_longrun_info.gms
BASYears,BAS years currently in use in the CAPRI system,global/create_longrun_info.gms
aYears,averaging years in transport cost estimation,global/estimate_transportcosts.gms
tcRowGroup,Product groups in transport cost estimation,global/estimate_transportcosts.gms
reportFlow,Exports and imports reported by countries,global/estimate_transportcosts.gms
qVU,items reported in FAO trade cost data,global/estimate_transportcosts.gms
continent,continentinents,global/estimate_transportcosts.gms
tcYears,Years in transport cost estimation,global/estimate_transportcosts.gms
removeOutl,Steps to remove outliers,global/estimate_transportcosts.gms
IniCROPitem,Initialisation set for items related to FAO2050 crops,global/f2050_sets.gms
F2050rows,Rows in FAO2050 projections,global/f2050_sets.gms
techAll,Technologies in terms of water supply,global/f2050_sets.gms
IniF2050crop,Initialisation set for crop areas in FAO2050 projections,global/f2050_sets.gms
IniF2050item,Initialisation set for items in FAO2050 projections,global/f2050_sets.gms
F2050cols,cols in FAO2050 projections,global/f2050_sets.gms
F2050yr,Years in FAO2050 data and projections,global/f2050_sets.gms
WFMRows,World Food Model products in WFM notation,global/fromimpact/fao_codes.gms
FDMRows,Product list of FAOs FOOD DEMAND MODEL,global/fromimpact/fao_codes.gms
AT2030Rows,Products in AT2030,global/fromimpact/fao_codes.gms
AT2030Cols,At2030 Collumns,global/fromimpact/fao_codes.gms
At2030Regions,Single countries from AT2030,global/fromimpact/fao_codes.gms
levlElaCodes,Levl elasticty codes from WFM parameter data base version Britz 1994,global/fromimpact/fao_codes.gms
demandElaCodes,Consumption elasticty codes from WFM parameter data base version Britz 1994,global/fromimpact/fao_codes.gms
feedElaCodes,Feed elasticty codes from WFM parameter data base version Britz 1994,global/fromimpact/fao_codes.gms
yieldElaCodes,Yield elasticty codes,global/fromimpact/fao_codes.gms
FAO1Cols,old (before 2008) FAO collumns,global/fromimpact/fao_codes.gms
CERE_COLS,Cereals according to Grandes Cultures definition,sets.gms
OILS_COLS,Oilseeds according to Grandes Cultures definition,sets.gms
MFCACT,Fixed crop production activities comprised in model,sets.gms
FEDACT_COLS,Feed producing endogenous crop activities,sets.gms
GRAS_COLS,GRAS cols used in energy indicator stuff,sets_organic_part1.gms
MECACT,Endogenous crop production activities comprised in model,sets.gms
MEAACT,Endogenous animal production activities comprised in model,sets.gms
DCACT,Crop activities aggregated in data base,sets.gms
DAACT,Animal activities aggregated in data base,sets.gms
FRMBAL_COLS,Positions of the farm balance,sets.gms
TRDPOS_COLS,External trade positions,sets.gms
MRKBAL_COLS,Positions of the market balance,sets.gms
BALPOS_COLS,Position of the farm and market balance,sets.gms
REQS_MOD,Nutrient contents or energy requirement,sets.gms
REQS_SET,"Nutrient contents or energy requirement, as calculated by requirement functions",sets.gms
REQSR_SET,Animal requirements,sets.gms
MFIND_COLS,Multifunctionality indicators,sets.gms
INTERM_COCO_COLS,Intermediate positions used by COCO and CAPREG,sets.gms
Frm_COLS,Farm type FSS Aggregates,sets.gms
ScenShifterPos_COLS,Scenario shifter positions,sets.gms
COLS,"CAPRI columns as used in COCO, CAPREG and CAPMOD",global/fromimpact/sets.gms
ScenShifterPos,Scenario shifter positions,sets.gms
ICO,Intermediate crop products,sets.gms
OYANI_ROWS,Young animals,sets.gms
ANIMO_ROWS,Animal outputs,sets.gms
FNUT_ROWS,Mineral fertilizing inputs,sets.gms
FODDIS,Non tradeable feedingstuffs as inputs without straw,sets.gms
FODDI_ROWS,Non tradeable feedingstuffs as inputs with straw,sets.gms
FEDTRD_ROWS,Feed inputs,sets.gms
FEED_ROWS,Feed inputs,sets.gms
IYANI_ROWS,Young animals as inputs,sets.gms
CIREST,Rest of crop specific inputs,sets.gms
IGEN,General inputs used by crops and animals,sets.gms
WHEPCASE_ROWS,Whey powder and casein,sets.gms
WMIP_ROWS,Whole milk powder only and Whey powder and Casein,sets.gms
MLKSECDIS_ROWS,Disaggregated milk secondaries,sets.gms
MLKSECO_ROWS,Dairy products,sets.gms
SET_BIO_FUEL_ROWS,Bio-ethanol and bio-diesel,sets.gms
SET_Fuel_ROWS,Fossil fuels,sets.gms
SECO_NO_DAIRY_ROWS,Processed Outputs without dairy,sets.gms
SECO_ROWS,Processed Outputs,sets.gms
SECAll_ROWS,Processed Outputs with disaggregated WMIP components,sets.gms
INCINDS,Agricultural income indicators,sets.gms
INCIND,Income indicators,sets.gms
EAAIND_ROWS,Positions which define the GVAM,sets.gms
Frm_ROWS,Positions for generating types from FSS raw farm groups,sets.gms
INTERM_COCO_ROWS,Intermediate positions used by COCO and CAPREG,global/fromimpact/sets.gms
SET_ENDW_COMM,Endowment commodities in GTAP used in CAPRI,sets.gms
R_LEVL,Regional levels used in feed and fertilizer contribution,sets.gms
R_EU25,EU25 Member States,sets.gms
NUTS0_RALL,All member states,sets.gms
R_MSALL,All member states,sets.gms
CLUST,Estimation clusters climate,sets.gms
MS_EU,"Set without longtexts, used in the connection with META data handling",sets.gms
IFACat,IFA categories with fertiliser per crop/ crop group,global/global_ferti.gms
Source,datas sources used in this file,global/global_ferti.gms
fubc_col,total and per hectare fertilizer use from Nature,global/global_ferti.gms
rmBL,Belgium and Luxembourg,global/load_fao_data_new.gms
rmsExt,rms extended with Belgium and Luxembourg,global/load_fao_data_new.gms
SUP_TYPE,support type,inputs/dist_input.gms
BOUNDS_LAB,only used in loop statements: opens bounds in 10 steps,inputs/labour_calc.gms
yieldGapProd,products for which yield gaps are estimated by Edoardo,inputs/load_organic_yieldgap.gms
Country,EU countries,outlier_detection/OutDet_sets.gms
Product,Agricultural Products,outlier_detection/OutDet_sets.gms
CCscen,Climate change scenarios for AgClim50iii,pol_input/agmip/agclim50iii_scenarios.gms
macInfo,information elements relative to MACs for non-CO2,pol_input/greendeal/oth_pol.gms
aglinkInfo,Aglink information available in stock data xls or derived from it,pol_input/agmip/agclim50iii_stocks.gms
elaInfo,Mixed estimation final results and interim information related to stock changes,pol_input/agmip/agclim50iii_stocks.gms
piksingleYrsIni,PIK CC effects on yields in single yrs,pol_input/agmip/agclim50iii_ylds.gms
pikChgInfoIni,PIK CC effects on avg yields and the min or max effects in single yrs,pol_input/agmip/agclim50iii_ylds.gms
pikScenInfo,PIK scenario information is production or avg yields or yields in single yrs,pol_input/agmip/agclim50iii_ylds.gms
pikScenAvgIni,PIK scenario names combine the RCP and crop information here for avg yields,pol_input/agmip/agclim50iii_ylds.gms
ccscen,climate scenarios,pol_input/agmip/agclim50v_shocks_climate.gms
crppars,crop shifter parameters,pol_input/agmip/agclim50v_shocks_climate.gms
wtrpars,water shifter parameters,pol_input/agmip/agclim50v_shocks_climate.gms
crpagg,crop aggregates for yield shocks data,pol_input/agmip/agclim50v_shocks_climate.gms
landscen,land scenarios,pol_input/agmip/agclim50v_shocks_lu.gms
crpAggPS,crop aggregates with productivity shock data,pol_input/agmip/agclim50v_shocks_land_yld.gms
pikScen,All climate change scenarios in PIK notation,pol_input/agmip/load_pik_scen.gms
colsLoadRef,cols to be loaded from the results of the reference scenario,pol_input/fta/ttip_modArm.gms
rowsLoadRef,rows to be loaded from the results of the reference scenario,pol_input/fta/ttip_modArm.gms
scen_shock,scenario elements,pol_input/greendeal/conventional_io.gms
MS_no_longtext,NUTS0 without long text for meta data handling,pol_input/greendeal/diets_disagg.gms
geo_landscape,EUROSTAT code list for countries for landscape data,pol_input/greendeal/load_landscape_targets.gms
ModClass,Farm classes according to size of modulation (CAP 1 premium cut under the MTR,pol_input/mtrstd.gms
TRAD_COMM,GTAP tradable commodities (sectors),pol_input/link_cge/logic.gms
o2022Scen,scenario types from which to choose the active scenario type,pol_input/outlook2022/redu_ldens_.gms
limType,limitation types are for regional avg or for farm percentils exceeding the limit,pol_input/outlook2022/redu_ldens_.gms
sim,stochastic iterations,pol_input/stochastic/IRGQ_capri.gms
distkey_items,items for the TRQ distribution calculations,pol_input/wto/DDA_rmtp.gms
tYears,years included in the tariff calculations,pol_input/wto/DDA_HS6.gms
rdShocks,Rural development policy instruments used in REGCGE,policy/load_rdp_spend_and_budget.gms
s_PSDPAY_CNDP,COUPLED Complementary National Direct Payment post 2013,policy/policy_sets.gms
s_PSDPAY_DCNDP,DEcoupled Complementary National Direct Payment post 2013,policy/policy_sets.gms
PSPOS_GRP,Policy positions and group of activities,policy/policy_sets.gms
TRDWHE_REG,"Traditional durum wheat producing regions, eligible for trad. premium",policy/policy_sets.gms
bud,"Contributing budget (total,EU,national)",policy/rd_sets.gms
lcPolT,"Political land cover types, derived from CLUE data",policy/rd_static.gms
R_BE_LU,Needed to read the data?,policy/rd_static.gms
year,all years possibly part of GAINS,prep_gains_data_jul15.gms
emisPact,CAPRI production activities as emission drivers,prep_gains_data_jul15.gms
emiTarget,Specific emission components or related target variables for mitigation,prep_gains_data_jul15.gms
itemsForCapri,items of interest for param p_ghgMiti,prep_gains_data_jul15.gms
gainstec,gains technologies,prep_gains_data_jul15.gms
gainsunits,units in GAINS,prep_gains_data_jul15.gms
gainssectors,gains sectors,prep_gains_data_jul15.gms
fertType,fertilizer type,prep_gains_data_jul15.gms
capriDim5,CAPRI dimension 5 elements used in agmip reporting,report_agmip/read_some_refrun_data.gms
capri,set to get the name CAPRI in the first column of the xls file to unload,report_agmip/collect_agmip_reporting.gms
othoRows,FAO products forming OTHO,report_agmip/read_some_refrun_data.gms
faoSelCols,selected FAO cols for loading,report_agmip/read_some_refrun_data.gms
s_capriUnits,Units used in CAPRI reporting for AgMIP,report_agmip/sets/CAPRI_AgMIP_variables_mappings.gms
s_capriscens,all potentially selected CAPRI scenarios,report_agmip/sets/euclimit6_scenarios.gms
headerName,header names matching with potentially selected CAPRI scenarios,report_agmip/sets/euclimit6_scenarios.gms
s_capriFiles,full CAPRI result file names from capmod folder without gdx extension,report_agmip/sets/euclimit6_scenarios.gms
AgMIP_regions_ini,AgMIP regions (all regions including aggregates),report_agmip/sets/sets_AgMIP_EU.gms
AgMIP_regions,Agmip regions,report_agmip/sets/sets_AgMIP_EU.gms
s_SLOSHA,Soil erosion average values per ha (kg/ha),reports/def_cbalance.gms
s_SLOS,Soil erosion average values (kg/ha) and factors,reports/def_cbalance.gms
