region,zone,pct
IT110000,11,13
IT110000,12,55
IT110000,13,10
IT130000,10,29
IT130000,11,29
IT130000,12,23
IT130000,13,11
IT130000,14,7
IT130000,15,1
IT320000,10,14
IT320000,11,4
IT320000,12,34
IT320000,13,44
IT320000,14,4
IT330000,10,33
IT330000,11,6
IT330000,12,21
IT330000,13,36
IT330000,14,4
IT510000,10,5
IT510000,11,6
IT510000,12,13
IT510000,13,26
IT510000,14,31
IT510000,15,18
IT510000,16,1
IT520000,10,3
IT520000,11,17
IT520000,12,41
IT520000,13,34
IT520000,14,5
IT530000,10,5
IT530000,11,6
IT530000,12,21
IT530000,13,37
IT530000,14,28
IT530000,15,3
IT710000,10,25
IT710000,11,6
IT710000,12,17
IT710000,13,26
IT710000,14,22
IT710000,15,4
IT720000,10,2
IT720000,11,9
IT720000,12,14
IT720000,13,43
IT720000,14,22
IT720000,15,8
IT720000,16,2
IT910000,13,9
IT910000,14,33
IT910000,15,28
IT910000,16,26
IT910000,17,4
IT920000,10,1
IT920000,11,7
IT920000,12,23
IT920000,13,30
IT920000,14,20
IT920000,15,13
IT920000,16,5
IT920000,17,1
IT930000,10,5
IT930000,11,7
IT930000,12,3
IT930000,13,3
IT930000,14,8
IT930000,15,22
IT930000,16,34
IT930000,17,18
NL330000,10,99
NL330000,11,1
NL340000,10,72
NL340000,11,28
NL410000,10,99
NL410000,11,1
NL420000,10,87
NL420000,11,13
AT110000,10,98
AT110000,11,2
AT120000,10,98
AT120000,11,2
PT110000,10,1
PT110000,11,5
PT110000,12,11
PT110000,13,17
PT110000,14,46
PT110000,15,20
PT150000,16,12
PT150000,17,70
PT150000,18,18
PT160000,12,2
PT160000,13,9
PT160000,14,8
PT160000,15,15
PT160000,16,48
PT160000,17,18
PT170000,16,1
PT170000,17,67
PT170000,18,32
PT180000,15,1
PT180000,16,39
PT180000,17,54
PT180000,18,6
UKH00000,10,98
UKH00000,11,2
UKJ00000,10,95
UKJ00000,11,5
UKK00000,10,93
UKK00000,11,7
HU100000,10,41
HU100000,11,52
HU100000,12,7
HU210000,10,49
HU210000,11,47
HU210000,12,4
HU220000,10,71
HU220000,11,29
HU230000,10,41
HU230000,11,50
HU230000,12,9
HU310000,10,88
HU310000,11,12
HU320000,10,73
HU320000,11,26
HU320000,12,1
HU330000,10,36
HU330000,11,50
HU330000,12,14
PL430000,10,96
PL430000,11,4
SK010000,10,93
SK010000,11,7
SK020000,10,92
SK020000,11,8
BG010000,10,7
BG010000,11,49
BG010000,12,44
BG020000,10,15
BG020000,11,46
BG020000,12,39
BG030000,10,15
BG030000,11,58
BG030000,12,26
BG030000,13,1
BG040000,10,92
BG040000,11,3
BG040000,12,3
BG040000,13,2
BG050000,10,19
BG050000,11,30
BG050000,12,42
BG050000,13,9
BG060000,10,2
BG060000,11,8
BG060000,12,58
BG060000,13,32
RO010000,10,98
RO010000,11,2
RO020000,10,33
RO020000,11,43
RO020000,12,24
RO030000,10,31
RO030000,11,40
RO030000,12,29
RO040000,10,38
RO040000,11,39
RO040000,12,23
RO050000,10,47
RO050000,11,41
RO050000,12,12
RO060000,10,97
RO060000,11,3
RO080000,10,12
RO080000,11,44
RO080000,12,44
