region,animal,ch4_ef_avg
DK000000,SHGM,0.27181818181818185
DK000000,SHGF,0.27181818181818185
DK000000,HENS,30.0
DK000000,POUF,20.0
EUW,DCOL,49.68181818181818
EUW,DCOH,49.68181818181818
EUW,BULL,14.409090909090908
EUW,BULH,14.409090909090908
EUW,HEIL,14.409090909090908
EUW,HEIH,14.409090909090908
EUW,SCOW,14.409090909090908
EUW,HEIR,14.409090909090908
EUW,CAMF,14.409090909090908
EUW,CAFF,14.409090909090908
EUW,CAMR,14.409090909090908
EUW,CAFR,14.409090909090908
EUW,PIGF,12.0
EUW,SOWS,18.318181818181817
EUW,SHGM,0.27181818181818185
EUW,SHGF,0.27181818181818185
EUW,HENS,30.0
EUW,POUF,20.0
EUW,DCOW,44.421052631578945
EUW,BULF,12.894736842105264
EUW,HEIF,12.894736842105264
EUE,DCOL,25.772727272727273
EUE,DCOH,25.772727272727273
EUE,BULL,12.909090909090908
EUE,BULH,12.909090909090908
EUE,HEIL,12.909090909090908
EUE,HEIH,12.909090909090908
EUE,SCOW,12.909090909090908
EUE,HEIR,12.909090909090908
EUE,CAMF,12.909090909090908
EUE,CAFF,12.909090909090908
EUE,CAMR,12.909090909090908
EUE,CAFR,12.909090909090908
EUE,PIGF,5.363636363636363
EUE,SOWS,8.772727272727273
EUE,SHGM,0.27181818181818185
EUE,SHGF,0.27181818181818185
EUE,HENS,30.0
EUE,POUF,20.0
EUE,DCOW,23.210526315789473
EUE,BULF,11.631578947368421
EUE,HEIF,11.631578947368421
