,DCOW,SCOW,COWS,BULL,HEIF,CALV,PIGS,SOWS,HENS,POUL,SHGO
DE11,94.4494882798519,16.789371529585,113.66878645770664,5.19346953034821,5.54778359434586,93.2355505560298,1061.37438373902,107.800608927883,0.856696145591786,2.86924149364824,26.37805379972966
DE12,17.4238947914013,6.92986397735103,113.66878645770664,2.450106204726,2.39553198455371,41.8365658351884,88.8077431066821,7.77732730030516,0.0621862396829496,0.174342041849012,26.37805379972966
DE13,63.9890594808406,28.6294696046856,113.66878645770664,9.69287146086446,5.85841236300118,66.0056087778518,131.315025478447,11.2763661964077,0.0917717782261281,0.336174901324999,26.37805379972966
DE14,167.132925616014,7.29448108546631,113.66878645770664,15.0571826492309,7.61663416253807,86.6823273634965,641.772424181714,57.4722555691389,0.435603822990462,1.49299658606706,26.37805379972966
DE21,373.821458237603,15.2314319601873,113.66878645770664,24.1638494756863,35.1301538499184,161.64970923698,446.609859972895,42.2612518075074,0.686863652431349,2.30086979299395,26.37805379972966
DE22,145.840191603302,11.5202947973462,113.66878645770664,20.7672729836746,14.585478096571,107.380390041859,1069.54192939108,82.794144561479,1.80329174725055,5.95247189200803,26.37805379972966
DE23,163.441031823921,15.2068780502781,113.66878645770664,7.82916587047933,13.8647524484744,84.7740234265969,277.059379412263,25.6116749557243,0.739301515533953,2.4286638840993,26.37805379972966
DE24,85.0008182204113,7.90538318857649,113.66878645770664,2.6353049361222,8.57231698154889,66.3554689609826,247.665686861152,21.7064227089849,0.125476147449162,0.391244072683161,26.37805379972966
DE25,97.0083155402916,8.43422232718777,113.66878645770664,10.6422520352102,11.2896180051016,70.9398884069219,505.968034485833,42.132850262715,1172.7652416611322,3161.016545298344,26.37805379972966
DE26,30.8626628821278,5.42990719882751,113.66878645770664,4.12486636014834,4.6851122385332,72.6209771757055,372.563373708789,37.4950600912081,0.0648322907556094,0.212408850348991,26.37805379972966
DE27,294.551506782992,7.92359352543363,113.66878645770664,12.5485178166904,23.4687027699366,106.406428519635,509.79607365147,41.7137219262128,0.403046495970466,1.2511136141133,26.37805379972966
DE30,46.9476838966315,7.486150134940365,54.43395105935306,1.038270474717299,0.4476312630515857,40.78862880038524,304.89715944544275,20.923396998952416,561.6163219306039,1513.7543496920953,12.631978701643966
DE40,151.964678207203,91.5265109154497,240.5299859829487,12.7955976544505,10.0790172341221,258.975514348771,959.580301768658,111.005456670642,2.96638900762731,9.85191265606918,55.81754770529861
DE50,46.9476838966315,7.486150134940365,54.43395105935306,1.038270474717299,0.4476312630515857,40.78862880038524,304.89715944544275,20.923396998952416,561.6163219306039,1513.7543496920953,12.631978701643966
DE60,45.56680551092536,7.265959018883371,52.83287811543646,1.0077316890295809,0.4344650259849128,39.588907510256085,295.9291792939955,20.307974377998057,545.0974273729664,1469.230094409111,12.26043265485268
DE71,25.7414232721979,13.3262783164131,113.66878645770664,6.44238836501259,3.91114342804634,47.7570663515969,50.5752530605954,0.594911640968405,0.152046686104197,0.507440650445745,26.37805379972966
