region,crop,pmp_diagonal
BL210000,SWHE,0.3174838217678756
BL210000,MAIZ,0.1026347472622352
BL210000,POTA,1.246755085172871
BL210000,MAIF,0.2590639466972884
BL210000,OFAR,109.252392566485
BL220000,SWHE,81.38377788449907
BL220000,BARL,46.85408953405901
BL220000,MAIZ,0.1259591745961143
BL220000,POTA,4604.084048940267
BL220000,SUGB,466.350891052201
BL220000,MAIF,0.3629753201781791
BL220000,OFAR,528.8823445388082
BL230000,SWHE,28.1629109360951
BL230000,BARL,25.89525091160719
BL230000,MAIZ,2.558739163757068
BL230000,OCER,157.4295804740941
BL230000,POTA,1495.37532171098
BL230000,SUGB,308.0614349380382
BL230000,MAIF,0.1839276641126737
BL230000,OFAR,138.5928544741023
BL230000,OSET,1.0
BL240000,SWHE,34.42450056215107
BL240000,BARL,19.49140992982438
BL240000,MAIZ,0.05126235273196057
BL240000,POTA,2441.790403525177
BL240000,SUGB,249.9202055849307
BL240000,MAIF,0.7654284377702225
BL240000,OFAR,725.8574978186181
BL240000,OSET,1.0
BL250000,SWHE,14.47470073030184
BL250000,BARL,34.49893131464239
BL250000,MAIZ,0.05912740522290471
BL250000,POTA,643.9213179493934
BL250000,SUGB,175.8714512841418
BL250000,MAIF,3.619783369477174
BL250000,OFAR,141.5812210112004
BL250000,OSET,1.0
BL310000,SWHE,0.866164887157392
BL310000,BARL,80.66992173125854
BL310000,POTA,1365.971431853344
BL310000,SUGB,277.6294916733016
BL310000,MAIF,1.377272339154053
BL310000,OFAR,1182.539562261236
BL310000,OSET,1.0
BL320000,SWHE,5.90059810485787
BL320000,BARL,37.75673155465906
BL320000,POTA,709.9932368360093
BL320000,SUGB,155.0247644919569
BL320000,MAIF,29.95609329759145
BL320000,OFAR,182.2738568864373
BL320000,OSET,1.0
BL320000,FALL,246.650678200306
BL330000,SWHE,0.8615520983543503
BL330000,BARL,91.27207448079326
BL330000,POTA,2499.227324871
BL330000,SUGB,1.421626478260809
BL330000,MAIF,48.27482856629904
BL330000,OFAR,117.0775634838431
BL330000,OSET,1.0
BL340000,SWHE,15.705625564547
BL340000,BARL,16.26718625920063
BL340000,OATS,23.68246567317724
BL340000,OCER,0.3118437649945843
BL340000,MAIF,3.703665679989237
BL340000,OFAR,146.9013943598812
BL350000,SWHE,13.44622860620457
BL350000,BARL,31.39382825445233
BL350000,RAPE,0.1263059913515116
BL350000,POTA,1348.420859870179
BL350000,SUGB,287.6426782908774
BL350000,MAIF,18.77717316933432
BL350000,OFAR,249.9730060604594
BL350000,OSET,1.0
BL350000,FALL,1000.0
BL400000,SWHE,36.58037836184214
BL400000,BARL,16.89138781199579
BL400000,OATS,43.97184732180492
BL400000,OCER,0.1006051735038921
BL400000,RAPE,0.175518775915137
BL400000,MAIF,20.60425770186741
BL400000,OFAR,202.6810932513978
BL400000,OSET,1.0
DK000000,SWHE,0.8523297041767603
DK000000,RYEM,2.54197255396066
DK000000,BARL,0.6289450577886938
DK000000,OATS,2.86133945334181
DK000000,OCER,0.01182598767092296
DK000000,RAPE,0.002625193003247001
DK000000,PULS,1.1901158400801
DK000000,POTA,43.22990251903434
DK000000,SUGB,20.73203330135799
DK000000,MAIF,3.067564590887723
DK000000,OFAR,0.02895979881409676
DK000000,OSET,1.0
DK000000,VSET,755.3606331563033
DK000000,FALL,2.116699677492505
DE110000,SWHE,2.73339786757568
DE110000,RYEM,61.79350765928554
DE110000,BARL,9.338057991278536
DE110000,OATS,35.5161860446624
DE110000,MAIZ,56.55171731483755
DE110000,OCER,28.85849122092957
DE110000,RAPE,0.01343912875941981
DE110000,PULS,67.93177547097181
DE110000,POTA,71.66390482191352
DE110000,SUGB,54.05696983641339
DE110000,MAIF,20.06874211483453
DE110000,OFAR,25.56539085654775
DE110000,OSET,1.0
DE110000,VSET,1000.0
DE110000,FALL,1000.0
DE120000,SWHE,10.31125476378326
DE120000,RYEM,38.43761198261447
DE120000,BARL,13.9472849887411
DE120000,OATS,60.07296483175696
DE120000,MAIZ,46.15118777852936
DE120000,OCER,70.3100269153579
DE120000,RAPE,0.03499131069417274
DE120000,PULS,13.13233599567629
DE120000,POTA,1935.662724359071
DE120000,SUGB,209.3210600308127
DE120000,MAIF,85.33721886264973
DE120000,OFAR,48.75956097760167
DE120000,OSET,1.0
DE120000,VSET,1000.0
DE120000,FALL,1000.0
DE130000,SWHE,19.49707580687123
DE130000,BARL,13.12125997680441
DE130000,OATS,31.40337084369524
DE130000,MAIZ,13.66976334232878
DE130000,OCER,62.08538312290231
DE130000,RAPE,0.04138273129341456
DE130000,POTA,1346.775362249687
DE130000,SUGB,14.46295430035617
DE130000,MAIF,96.64815336084885
DE130000,OFAR,2.144640121520808
DE130000,OSET,1.0
DE130000,VSET,1000.0
DE130000,FALL,1000.0
DE140000,SWHE,3.578829700548664
DE140000,RYEM,90.69037788651947
DE140000,BARL,12.52234779250443
DE140000,OATS,45.82701412659419
DE140000,MAIZ,73.91225731444466
DE140000,OCER,20.08089245298308
DE140000,RAPE,0.0171189742681438
DE140000,PULS,70.42785667512086
DE140000,POTA,1590.268560261341
DE140000,MAIF,14.11899990977072
DE140000,OFAR,22.52536900676629
DE140000,OSET,1.0
DE140000,VSET,1000.0
DE140000,FALL,1000.0
DE210000,SWHE,2.100862718284931
DE210000,RYEM,23.59328728262922
DE210000,BARL,10.8853119495034
DE210000,OATS,71.15252563317041
DE210000,MAIZ,39.0039149798071
DE210000,OCER,18.23909429258978
DE210000,RAPE,0.0137491829544396
DE210000,PULS,71.44238640473375
DE210000,POTA,41.83175033961297
DE210000,SUGB,148.5917229666907
DE210000,MAIF,8.63941569200512
DE210000,OFAR,8.576866344130258
DE210000,OSET,1.0
DE210000,VSET,1000.0
DE210000,FALL,1000.0
DE220000,SWHE,1.462967269869382
DE220000,RYEM,67.34735816156123
DE220000,BARL,15.40188687218309
DE220000,OATS,33.25505604638957
DE220000,MAIZ,27.41303395922623
DE220000,OCER,0.8793969163606435
DE220000,RAPE,0.8718333710879178
DE220000,SUNF,90.24671950133474
DE220000,PULS,156.8748398311319
DE220000,POTA,73.09958549611125
DE220000,SUGB,50.57200087803504
DE220000,MAIF,25.71732500301297
DE220000,OFAR,19.97297960390525
DE220000,OSET,1.0
DE220000,VSET,1000.0
DE220000,FALL,1000.0
DE230000,SWHE,14.96736294436045
DE230000,RYEM,29.10094544503863
DE230000,BARL,2.279924768572862
DE230000,OATS,58.26335071259727
DE230000,MAIZ,70.54721870637403
DE230000,OCER,17.02732546394143
DE230000,RAPE,0.01643445231308023
DE230000,PULS,7.510496551690244
DE230000,POTA,643.4531708275706
DE230000,SUGB,196.2780801712624
DE230000,MAIF,14.9770426628609
DE230000,OFAR,10.91120782850244
DE230000,OSET,1.0
DE230000,VSET,1000.0
DE230000,FALL,1000.0
DE240000,SWHE,15.45469480497278
DE240000,RYEM,33.84760632728694
DE240000,BARL,2.907405012265655
DE240000,OATS,53.90224393221791
DE240000,OCER,0.02890517721269056
DE240000,RAPE,0.0151096697230355
DE240000,PULS,80.59536487007519
DE240000,POTA,291.7568006499827
DE240000,SUGB,417.8253004573745
DE240000,MAIF,31.27161494424912
DE240000,OFAR,16.22631854253546
DE240000,OSET,1.0
DE240000,VSET,1000.0
DE240000,FALL,1000.0
DE250000,SWHE,18.21603620139541
DE250000,RYEM,20.03573248599369
DE250000,BARL,4.227595171778511
DE250000,OATS,11.87287804603558
DE250000,MAIZ,43.70126108409974
DE250000,OCER,7.657298413501341
DE250000,RAPE,0.01948475620533012
DE250000,PULS,112.7270683218096
DE250000,POTA,347.5328963346142
DE250000,SUGB,229.6923013283613
DE250000,MAIF,6.985935509784729
DE250000,OFAR,25.89287005004354
DE250000,OSET,1.0
DE250000,VSET,1000.0
DE250000,FALL,1000.0
DE260000,SWHE,4.221567061342324
DE260000,DWHE,146.1891386150746
DE260000,RYEM,19.31918496031296
DE260000,BARL,8.565402510265967
DE260000,OATS,46.39158875498565
DE260000,MAIZ,85.68448863420562
DE260000,OCER,19.31471439418018
DE260000,RAPE,14.3218867957045
DE260000,SUNF,14.15309252607588
DE260000,PULS,403.0618178524672
DE260000,POTA,402.3121830288225
DE260000,SUGB,0.6721618495081594
DE260000,MAIF,60.10907774298089
DE260000,OFAR,81.66409048364397
DE260000,OSET,1.0
DE260000,VSET,1000.0
DE260000,FALL,1000.0
DE270000,SWHE,6.027269655454934
