region,ARABLE,PERMANENT,GRASSLAND,FALLOW,OTHER_AG
DE11,330.129086750957,21.7036643817107,70.369633453396,3.14561580178303,470.868353657845
DE12,142.546247271599,18.7933873233257,29.8932207524199,4.86443790563489,202.332688776871
DE13,163.461333053098,9.51977686303188,81.6175225004823,5.3505283592705,326.696378054063
DE14,239.658473078319,21.6146805339525,95.5058186370578,2.31283076653794,430.670110352434
DE21,440.669981608029,42.9007285093751,166.545049365016,1.64049618341355,773.760080337902
DE22,394.320686008513,17.2045002180311,63.0926959336895,2.29802410028807,520.5060778757
DE23,275.993304803154,26.0083913903242,61.4098402953347,2.57693576597711,398.812985393824
DE24,222.594407489661,18.2636869571812,43.1215552795248,5.0035370143427,308.83751804871
DE25,236.381151441834,14.2327743038614,49.9239627571187,1.52864240381853,336.229076956071
DE26,294.29347653579,10.3741459456724,29.8262554161175,5.45737316876454,353.945987368058
DE27,249.324217759929,30.0442584948457,128.725083245045,0.354149454720195,506.774384250018
DE30,1.4,1.42540464094668,0.9,0.2,2.4
DE40,1049.94810971465,119.530751919075,144.024709545955,11.2676823056884,1337.99752880656
DE50,1.5,2.40293509971743,7.0,0.1,8.5
DE60,5.7,9.6683049491181,6.3,0.7,13.8
DE71,156.618269433995,18.5706629907122,41.359323311933,3.67937554339238,239.33691605767
DE72,114.548960218159,5.27925447077574,43.6784607078357,2.70547209865187,201.90588163383
DE73,209.735177426376,8.09133584071918,58.8009536681643,4.1343277498159,327.33708476264
DE80,1107.79377465684,91.0680992451425,134.31725195493,12.4260413673108,1376.42827856669
DE91,345.949260531634,8.26996996327841,20.7635319706861,5.15654059455933,387.47632447052
DE92,430.849472962671,22.5493914608835,30.0666316151589,6.69983448214916,490.98273619336
DE93,529.504053102461,72.3082051774043,148.237641532755,1.8802240399831,825.979336168059
DE94,607.412667132879,128.545525020858,156.390977094525,3.32367702444196,920.19462132216
DEA1,158.389297611581,19.8983163012861,27.2590740480387,0.187199695317684,212.907445707658
DEA2,180.424387909194,41.654232919073,57.6910414391571,0.232304341232534,295.806470787594
DEA3,347.916086816114,17.4636701764345,23.5371635688042,0.959725308184192,394.990413953722
DEA4,269.585491200204,7.67419349795707,33.046166371605,1.13538917011349,335.677823943415
DEA5,132.899862617042,12.2055281836274,56.209616757573,0.206538036050198,245.319096132191
DEB1,160.49001357467,28.0355604331855,48.3202585621867,5.76722439812125,257.130530696447
DEB2,79.890199010961,6.47003073792933,51.5082461102253,3.34344547965262,182.906691231412
DEB3,231.259315304596,16.984966661801,17.8437253404308,12.2751799255975,266.946765985457
DEC0,35.4511228653717,9.59430645436601,20.6522542948522,1.26313462632625,76.7556314552149
DED2,282.3,3.1,77.7,21.5,363.2
DED4,46.0182929540643,5.854137961229376,20.589307110336414,0.8634079266435599,2.138157894736842
DED5,34.44703931931552,5.696580864216247,19.528026333681712,1.888071763214644,2.138157894736842
DEE0,1027.02918488485,81.8705072321218,78.263617115305,4.31526111758589,1183.55641911546
DEF0,678.832430038844,77.4478495731591,170.723086254631,1.70794449931618,1020.27860254824
DEG0,638.89802350459,22.6882388352384,77.1095735474956,1.29041041509159,793.117170599582
FR10,562.31830082076,16.0270288470644,9.37348645668515,0.679170038330979,581.065273734046
FRB0,2160.30331328908,93.1392625433222,131.879748143916,15.0199821886438,2424.06280957691
FRC1,1053.20726464804,64.0575323728478,386.219944175393,2.21924518244143,1825.64715299675
FRC2,258.100040855578,46.4577749684028,213.183666312603,0.120653205796684,684.467373481382
FRD1,702.972238704544,27.3920314218648,302.075586181845,0.233600016934176,1307.12341106823
FRD2,628.250101451245,20.0736452905014,91.09204700797,0.352371754678677,810.434195467141
FRE1,691.318785844219,44.6798975185673,74.1105631837432,0.168837029010666,839.539912211697
FRE2,1250.90294535526,39.5302259256766,60.3069483810018,0.313724232494483,1371.51684211729
FRF1,254.008847047907,26.1999721129152,37.4717021703052,0.326411466259976,328.952251388429
FRF2,1333.19407112136,40.7539531327685,108.271214615583,1.39802523968907,1549.73650035253
FRF3,715.985486099683,32.8135234458527,205.110530501477,0.211682711904969,1126.20654710336
FRG0,1764.55872060806,105.787053946667,253.866902732574,0.452471014895557,2272.29252607277
FRH0,1590.69892949733,99.4961410033934,80.2767452991223,0.287382927534701,1751.25242009489
FRI1,1027.91982319277,367.665751696933,252.349686978383,9.80636045240616,1532.61919714955
FRI2,290.179549353436,98.4461946533583,282.059762813666,0.0374130920623184,854.299074980521
FRI3,1585.09770763705,58.1772591757868,91.6196633634799,1.95619308168104,1768.33703436398
FRJ1,458.482493487271,343.248990251752,278.70303813687,9.56744506862912,1015.88856976276
FRJ2,1614.8585365309,437.164686614578,436.829388802401,4.67160050021327,2488.51731413583
FRK1,540.520218525666,122.526492609969,475.975709041009,0.740863600796877,1492.47163660752
FRK2,659.480586911879,416.87807431091,456.406731578319,2.65387182287434,1572.29405006863
FRL0,259.21316041979,707.766718466941,274.720423794171,6.79648841356414,808.654008008068
FRM0,36.6736255973775,326.596019436807,147.895065825335,1.07756960292082,332.463757262318
ITC1,435.300895659325,248.244342098489,266.119730328432,0.600424453219681,967.540356314001
ITC2,3.87808836364664,103.31532973095,30.4041833367734,0.0161054625331563,64.6864550376948
ITC3,9.51190974278338,88.9188135618554,17.0918104009616,0.0030305788644528,43.6955305431642
ITC4,821.3,32.0,262.5,2.549835517301506,1120.3
ITH1,54.7092767856294,12.103606201859852,22.54676214969811,2.280408753203325,3.273809523809524
ITH2,75.24622773801728,10.897968844272226,21.675506284972187,1.0787179965948896,3.273809523809524
ITH3,578.31438990754,69.5963577359279,119.905384623697,0.504055197450279,818.125159154726
ITH4,118.187940121419,134.080874945319,64.4017797929213,0.0096575742420665,246.991499707309
ITH5,60.36418694880762,9.541294537688502,18.3403973145002,2.791158046827316,3.273809523809524
ITI1,585.779783394659,183.385843135559,64.884833625556,64.4889806691697,715.549450644467
ITI2,288.712718264196,44.3324946352299,30.707673919655,9.46345992855196,350.128066103668
ITI3,70.75781696144907,10.493476724647822,26.371796266096077,1.3859182976071502,3.273809523809524
ITI4,59.14093064016697,8.431669331833328,18.479230818559813,1.8019639188183223,3.273809523809524
ITF1,289.45087356332,81.4365332701947,103.604520141352,13.0056266176531,496.659913846025
ITF2,149.303357548601,115.101172803738,14.1737789616355,0.0555950990953772,177.650915471635
