region,act,ref,gd,pct
AL000000,AGGT,1295.74675844556,2148.46640104548,65.80912798291567
AL000000,APPL,3.86299140443854,3.86297851671916,-0.00033362019302707324
AL000000,ARAB,679.965709338085,680.087096377307,0.017851935407176
AL000000,ARAC,626.452194807779,626.574045595615,0.019450931586773024
AL000000,ARTART,62.6647580906102,62.6653082308072,0.0008779100307165777
AL000000,ARTGRS,2.21856377323879,2.21847636375378,-0.003939913112460669
AL000000,ARTIF,82.0365126668325,82.0380029239072,0.001816577797209007
AL000000,ARTO,2845.09474760944,2845.09474760944,0.0
AL000000,BARL,3.78848563478854,3.7857772094364,-0.07149097589995712
AL000000,BEFM,13.4332000892913,13.4707358982975,0.279425667426203
AL000000,BULF,11.1783380806955,11.2067846026083,0.2544789905927658
AL000000,BULH,3.04686008682883,3.05485336621774,0.2623448127291539
AL000000,BULL,3.0468601007982,3.05410271512033,0.23770747860174524
AL000000,CACR,386.091006321609,386.320489758196,0.0594376540322461
AL000000,CAFF,107.87951704243,107.931773272812,0.048439436711089634
AL000000,CAFR,48.1979264660113,48.2646003357206,0.13833348153746705
AL000000,CAMF,156.786284546138,156.854697237217,0.043634359521327326
AL000000,CAMR,6.12108905456715,6.12886974473862,0.12711284057638217
AL000000,CATA,399.524206410901,399.791225656493,0.06683430973826177
AL000000,CERE,129.416995694574,129.359214107033,-0.04464760384128574
AL000000,CITR,1.51499816770104,1.5149892183938,-0.0005907140635974528
AL000000,CROP,679.965709338085,680.087096377307,0.017851935407176
AL000000,CRPCRP,578.109152358612,578.169792931035,0.010489467633489902
AL000000,CRPFOR,1.89809837335251,1.89738059723022,-0.03781553856043729
AL000000,CRPGRS,17.6922115909959,17.6807978375088,-0.06451287013157225
AL000000,DCOH,157.094426010002,157.159044849775,0.04113375720211643
AL000000,DCOL,157.094426204366,157.176101423999,0.05199116328085118
AL000000,DCOW,314.188852214369,314.335146273773,0.04656246024419275
AL000000,FALL,221.088084740504,220.887651766872,-0.09065751954351331
AL000000,FEOG,18.0900826542219,18.0946421720567,0.02520451631955467
AL000000,FODD,823.188489314379,822.944062988994,-0.029692631585331863
AL000000,FORCRP,2.38760492863499,2.38874056329567,0.04756375927441603
AL000000,FORE,736.208059785693,735.881933254075,-0.044298147416765854
AL000000,FORFOR,653.031998249437,652.87473081235,-0.024082654067281162
AL000000,FORGRS,13.6254703470375,13.6556961895833,0.22183338832315602
AL000000,FRUN,53.513514530306,53.5130507816919,-0.000866600929061434
AL000000,GRAE,307.890522959387,307.458081203486,-0.1404530908403534
AL000000,GRAI,307.89052614809,308.021000111007,0.04237673843017209
AL000000,GRAS,615.781049107478,615.781049107478,0.0
AL000000,GRSART,2.62357361308755,2.62369741282488,0.004718744567044908
AL000000,GRSCRP,17.3014931677768,17.3125022957553,0.06363108589382271
