model_region,activity,nutrient,value
AT11,SHGF,P2O5,0.573188197692198
AT11,SHGF,K2O,1.57626754365354
AT11,HENS,N,626.778130906898
AT11,HENS,P2O5,504.0
AT11,HENS,K2O,408.0
AT11,POUF,N,109.02479354986
AT11,POUF,P2O5,53.5742059221113
AT11,POUF,K2O,43.3695952702806
AT11,GRAS,N,47.8698639586511
AT11,GRAS,P2O5,10.2544003464023
AT11,GRAS,K2O,23.9269341416054
AT11,SETA,N,19.5211047530331
AT11,DCOW,N,98.3440813746128
AT11,DCOW,P2O5,72.3654512594028
AT11,DCOW,K2O,153.069405229758
AT11,BULF,N,63.7320678110145
AT11,BULF,P2O5,39.3485760653842
AT11,BULF,K2O,108.208584179807
AT11,HEIF,N,68.2741331952856
AT11,HEIF,P2O5,43.5116502175884
AT11,HEIF,K2O,119.657038098368
AT11,GROF,N,13.6295242027099
AT11,GROF,P2O5,4.95725441387715
AT11,GROF,K2O,10.7030694459296
AT11,LOSF,N,5.91502332239489
AT11,LOSF,P2O5,2.19894780966111
AT11,LOSF,K2O,4.26496905494597
AT11,INTF,N,7.71450088031499
AT11,INTF,P2O5,2.75830660421604
AT11,INTF,K2O,6.43810039098361
AT11,ARAB,N,57.6171138383886
AT11,ARAB,P2O5,17.7372151325237
AT11,ARAB,K2O,39.1997720296835
AT11,CERE,N,57.4663870009821
AT11,CERE,P2O5,19.8229464635732
AT11,CERE,K2O,55.7001243041969
AT11,PERM,N,28.633979793587
AT11,PERM,P2O5,7.78168929594432
AT11,PERM,K2O,14.1963934855285
AT11,FODD,N,48.8352307116113
AT11,FODD,P2O5,9.60048909088732
AT11,FODD,K2O,21.4464466630352
AT11,SETF,N,19.5211047530331
AT11,OILS,N,75.7565994093326
AT11,OILS,P2O5,20.3153109932394
AT11,OILS,K2O,23.9593335524524
AT11,OAR1,N,106.699522901511
AT11,OAR1,P2O5,45.7715791729191
AT11,OAR1,K2O,77.8515334337983
AT11,RUMI,N,62.4349672736089
AT11,RUMI,P2O5,40.1460549087788
AT11,RUMI,K2O,103.542110642737
AT11,CATA,N,62.6897965425326
AT11,CATA,P2O5,40.4726891387931
AT11,CATA,K2O,104.258626339737
AT11,BEFM,N,71.3997628021349
AT11,BEFM,P2O5,45.8793004889945
AT11,BEFM,K2O,123.339609389432
AT11,PKPL,N,60.5796445665356
AT11,PKPL,P2O5,32.1803936277225
AT11,PKPL,K2O,32.0592342537197
AT11,AGGT,N,58.0364682669469
AT11,AGGT,P2O5,21.1296372000945
AT11,AGGT,K2O,45.6204090891028
AT11,CACR,N,60.5036862403153
AT11,CACR,P2O5,39.1156863192092
AT11,CACR,K2O,99.4694994501365
AT11,UVAG,N,492.142884240133
AT11,UVAG,P2O5,677.096424662084
AT11,UVAG,K2O,313.646449676849
AT11,EAAG,N,6.70767335194234
AT11,EAAG,P2O5,3.35653923977655
AT11,EAAG,K2O,3.35697973236057
AT11,UAAR,N,57.1431789868422
AT11,UAAR,P2O5,17.373382589133
AT11,UAAR,K2O,38.4571697319599
AT12,SWHE,N,39.3133965510162
AT12,SWHE,P2O5,11.9633868419824
AT12,SWHE,K2O,71.7803210518944
AT12,DWHE,N,37.2941104530506
AT12,DWHE,P2O5,10.7518151832031
AT12,DWHE,K2O,64.5108910992186
AT12,RYEM,N,38.7566034866068
AT12,RYEM,P2O5,11.6293110033368
AT12,RYEM,K2O,69.7758660200208
AT12,BARL,N,39.512125535116
AT12,BARL,P2O5,12.0826242324423
AT12,BARL,K2O,72.4957453946538
AT12,OATS,N,38.7211147408447
AT12,OATS,P2O5,11.6080177558795
AT12,OATS,K2O,69.6481065352772
AT12,CORN,N,129.380905037004
AT12,CORN,P2O5,52.7925550358529
AT12,CORN,K2O,32.9953468974081
AT12,OCER,N,34.5706082174415
AT12,OCER,P2O5,9.11771384183763
AT12,OCER,K2O,54.7062830510257
AT12,RAPE,N,74.8369767381196
AT12,RAPE,P2O5,30.2523045038586
AT12,RAPE,K2O,16.806835835477
AT12,SUNF,N,63.2036958231086
AT12,SUNF,P2O5,25.0453013383218
AT12,SUNF,K2O,37.5679520074826
AT12,SOYA,N,100.245432736373
AT12,SOYA,P2O5,22.3092453118144
AT12,SOYA,K2O,33.4638679677216
AT12,OOIL,N,37.7041228089891
AT12,OOIL,P2O5,9.77584230823661
AT12,OOIL,K2O,9.77584230823661
AT12,OIND,N,208.719497520782
AT12,OIND,P2O5,151.476063231789
AT12,OIND,K2O,132.541555327816
AT12,NURS,N,150.307829676114
AT12,NURS,P2O5,87.0171175383458
AT12,NURS,K2O,79.1064704894053
AT12,FLOW,N,150.307829676114
AT12,FLOW,P2O5,104.746728956055
AT12,FLOW,K2O,91.653387836548
AT12,OCRO,N,86.0257288281807
AT12,OCRO,P2O5,23.6504649618867
AT12,OCRO,K2O,21.5004226926243
AT12,MAIF,N,39.0118057064424
AT12,MAIF,P2O5,11.7942265618
AT12,MAIF,K2O,25.9472984359599
AT12,ROOF,N,54.9279280515998
AT12,ROOF,P2O5,17.7767547852772
AT12,ROOF,K2O,65.797809560875
AT12,OFAR,N,62.7172013116431
AT12,OFAR,P2O5,11.5608873096366
AT12,OFAR,K2O,24.7733299492212
AT12,GRAE,N,42.5248925187536
AT12,GRAE,P2O5,8.36979017812925
AT12,GRAE,K2O,19.5295104156349
AT12,GRAI,N,73.3921912356977
AT12,GRAI,P2O5,19.5295104156349
AT12,GRAI,K2O,45.5688576364815
AT12,PULS,N,37.9528280071083
AT12,PULS,P2O5,5.43758327592082
AT12,PULS,K2O,6.34384715524096
AT12,POTA,N,54.0166586912437
AT12,POTA,P2O5,13.8568960840793
AT12,POTA,K2O,59.386697503197
