model_region,ARAB,FALL,GRAE,GRAI,OLND,SETA,UAAR
AT11,181.074052665339,3.45916623895552,4.62711037009117,4.62711037060078,44.2320217717292,10.9478268863747,190.328273406031
AT12,751.828071577293,20.4127110329064,68.3992334779965,68.399233477991,77.4420785081412,34.2588539229339,888.626538533281
AT13,,,,,3.20400733685082,,
AT21,59.2043638572768,0.110780496296795,78.0461533364432,78.0461533364475,73.4176934296307,2.30833946293553,215.296670530168
AT22,142.267400327236,0.535426017559022,111.627010366657,111.627010366996,114.787355107151,4.58367811690901,365.52142106089
AT31,262.464825017062,1.25689605376783,119.798161231322,119.798161231169,48.3995452570795,9.39743533346992,502.061147479553
AT32,11.4240007133126,0.00401055801281042,87.497344167491,87.4973441674784,136.434214202064,0.0568357052160992,186.418689048282
AT33,15.2925097155895,0.033710764461815,125.217670942556,125.217670941732,309.77962218754,0.00568422996660293,265.727851599877
AT34,5.01909463673023,0.0482296631589432,38.3952493634439,38.3952493637304,74.7537601622824,0.0113684598019871,81.8095933639046
BE10,,,,,0.0272659635548642,,
BE21,62.5814686425076,0.00250081765837576,14.5415504525075,14.5415503333486,7.25788086263686,0.131385173028225,91.6645694283636
BE22,67.8370078365011,0.00259665826437691,9.77249968887704,9.77250012499607,7.38958886080429,0.210382264271348,87.3820076503742
BE23,102.167258831427,0.00223622963261932,23.6399277418095,23.6399279627402,7.97357789843865,0.163324504297464,149.447114535977
BE24,69.4462496562217,0.00243951484267679,9.58808783085122,9.58808858923359,2.69779441784774,0.356430715760253,88.6224260763065
BE25,150.342706924514,0.00274023124707212,25.5047082111533,25.504707205742,1.5835890245039,0.280049224488312,201.35212234141
BE31,55.3090115774234,0.00474784643111094,3.6295632212152,3.62956428831496,2.37765213183088,0.450391618988027,62.5681390869535
BE32,154.917859226076,0.0119965376944968,28.9959950027718,28.9959950028003,10.3624005853601,1.03558158520864,212.909849231648
BE33,64.5949457333193,0.00430558331979744,42.7818671911638,42.781867679931,3.93286791470982,0.476404424128023,150.158680604414
BE34,38.1918695069606,0.000972080344390651,50.2364316001822,50.2364316185955,6.36539487902104,0.0764745785017446,138.664732725738
BE35,94.6803009445943,0.0110266246435999,28.8582821678397,28.8582821677913,1.96923978731672,0.953866452544803,152.396865280225
CY00,112.504459718395,4.21127789717286,0.868265301752234,0.868265301733945,461.388789857819,,114.240990321882
CZ01,11.5525929614216,2.10526941425755,0.0553540002428292,0.0553540002428292,3.74565922467153,,11.6633009619072
CZ02,556.796310694639,62.7698203003963,28.2558362129853,28.2558362129117,26.0826313248906,,613.307983120536
CZ03,517.477932157212,50.0843793397745,151.976111685154,151.976111685332,27.966833720389,,821.430155527699
CZ04,217.674804268259,47.6275061013547,65.9721220109986,65.972122011661,29.1128592696255,,349.619048290919
CZ05,440.185480482555,45.0064191875667,92.2526637470559,92.2526637472611,26.2848658223897,,624.690807976872
CZ06,705.729002369809,53.8595277797134,47.5476219303801,47.5476219303801,26.5039615075485,,800.824246230569
CZ07,316.10188226521,24.2022171151552,60.7468225741145,60.746822574039,11.2248984608882,,437.595527413364
CZ08,143.607604832243,16.3261539458838,45.0893231805948,45.0893231805946,6.73431776981132,,233.786251193432
DE11,330.129086750957,3.14561580178303,70.369633453396,70.3696334534916,21.7036643817107,9.9101595417495,470.868353657845
DE12,142.546247271599,4.86443790563489,29.8932207524199,29.893220752852,18.7933873233257,6.25128311363733,202.332688776871
DE13,163.461333053098,5.3505283592705,81.6175225004823,81.6175225004823,9.51977686303188,5.63163468853893,326.696378054063
DE14,239.658473078319,2.31283076653794,95.5058186370578,95.5058186370578,21.6146805339525,7.89524833641793,430.670110352434
DE21,440.669981608029,1.64049618341355,166.545049365016,166.545049364857,42.9007285093751,13.3507174285785,773.760080337902
DE22,394.320686008513,2.29802410028807,63.0926959336895,63.0926959334976,17.2045002180311,11.5246176852712,520.5060778757
DE23,275.993304803154,2.57693576597711,61.4098402953347,61.4098402953347,26.0083913903242,8.17767313911737,398.812985393824
DE24,222.594407489661,5.0035370143427,43.1215552795248,43.1215552795248,18.2636869571812,8.60341796575418,308.83751804871
DE25,236.381151441834,1.52864240381853,49.9239627571187,49.9239627571187,14.2327743038614,7.64233060972481,336.229076956071
DE26,294.29347653579,5.45737316876454,29.8262554161175,29.8262554161499,10.3741459456724,11.5709859340829,353.945987368058
DE27,249.324217759929,0.354149454720195,128.725083245045,128.725083245045,30.0442584948457,6.23006136025522,506.774384250018
DE30,,,,,1.42540464094668,,
DE40,1049.94810971465,11.2676823056884,144.024709545955,144.024709545955,119.530751919075,62.6055676813781,1337.99752880656
DE50,,,,,2.40293509971743,,
DE60,,,,,9.6683049491181,,
DE71,156.618269433995,3.67937554339238,41.359323311933,41.3593233117415,18.5706629907122,5.23539691821035,239.33691605767
DE72,114.548960218159,2.70547209865187,43.6784607078357,43.6784607078357,5.27925447077574,4.45556725584025,201.90588163383
DE73,209.735177426376,4.1343277498159,58.8009536681643,58.8009536680994,8.09133584071918,8.82682862116319,327.33708476264
DE80,1107.79377465684,12.4260413673108,134.31725195493,134.317251954921,91.0680992451425,57.5303519885722,1376.42827856669
DE91,345.949260531634,5.15654059455933,20.7635319706861,20.7635319681998,8.26996996327841,13.7755854518172,387.47632447052
DE92,430.849472962671,6.69983448214916,30.0666316151589,30.0666316155301,22.5493914608835,16.7557993132072,490.98273619336
DE93,529.504053102461,1.8802240399831,148.237641532755,148.237641532843,72.3082051774043,18.311779952886,825.979336168059
DE94,607.412667132879,3.32367702444196,156.390977094525,156.390977094756,128.545525020858,13.9315514365855,920.19462132216
DEA1,158.389297611581,0.187199695317684,27.2590740480387,27.2590740480387,19.8983163012861,3.15527519954516,212.907445707658
DEA2,180.424387909194,0.232304341232534,57.6910414391571,57.6910414392427,41.654232919073,4.17420854843713,295.806470787594
DEA3,347.916086816114,0.959725308184192,23.5371635688042,23.5371635688042,17.4636701764345,9.7934131432493,394.990413953722
DEA4,269.585491200204,1.13538917011349,33.046166371605,33.046166371605,7.67419349795707,10.6756086157373,335.677823943415
DEA5,132.899862617042,0.206538036050198,56.209616757573,56.2096167575758,12.2055281836274,4.83656686290542,245.319096132191
DEB1,160.49001357467,5.76722439812125,48.3202585621867,48.3202585595902,28.0355604331855,6.47047847439155,257.130530696447
DEB2,79.890199010961,3.34344547965262,51.5082461102253,51.5082461102253,6.47003073792933,2.343704256363,182.906691231412
DEB3,231.259315304596,12.2751799255975,17.8437253404308,17.8437253404308,16.984966661801,5.66114175536087,266.946765985457
DEC0,35.4511228653717,1.26313462632625,20.6522542948522,20.652254294991,9.59430645436601,1.85472998040186,76.7556314552149
DEE0,1027.02918488485,4.31526111758589,78.263617115305,78.2636171153059,81.8705072321218,53.2086856693472,1183.55641911546
DEF0,678.832430038844,1.70794449931618,170.723086254631,170.72308625476,77.4478495731591,24.5618535351636,1020.27860254824
