region,APPL,BARL,BULH,BULL,CAFF,CAFR,CAMF,CAMR,CITR,CORN,DCOH,DCOL,DWHE,HEIH,HEIL,HEIR,HENS,MAIF,OATS,OCER,OFRU,OLIV,OOIL,OVEG,PIGF,POTA,POUF,PULS,RAPE,RYEM,SCOW,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TAGR,TOBA,TOMA
AT11,0.14925343092676033,0.4094357442597497,1.3893132897552174,2.2741777536544876,2.803891347105091,0.9530786284636275,2.811786939208711,0.9572758827665236,,0.23943030199884174,0.3262233558115755,0.29377799418647826,0.2711473078270322,0.8678379493770558,1.7072523350168278,0.5483737489428336,0.9098439413922258,1.2695697792240437,1.0738124106812859,0.3636938094801766,0.14987605598372514,,0.6875996637059937,0.4476236994101073,2.230515119778853,1.4584747696940283,6.386174294866917,1.7548390486084617,0.4872446989103479,0.6179037859694634,0.10871984393413062,0.9085918863862016,0.3873583563830235,0.8027546623811835,0.17353827324858664,1.1570375436132592,0.8245032270307262,0.09181014626784899,,0.29869699876438227,0.4497540698997096
AT12,0.1491070911239855,0.46230872325074973,1.3887349677126695,2.5551358918096057,2.804692853433472,0.9524093671974825,2.812816151899853,0.9569546974269514,,0.13962609374994966,0.32195194503196967,0.28824639996163265,0.9948878561092154,0.8675857429925516,1.8539153370360333,0.5481088039270622,0.9090278342036195,0.38003330696280957,1.6933769095301903,0.0859423034575764,0.14983601716739353,,0.652348705599568,0.4474413548543499,2.2231388323371224,0.977154229602214,6.38111778708404,0.9338328863394436,0.41127743624053636,1.1714743013506432,0.10880447653341391,0.9093952119559394,0.3871731310180681,0.8018857130562347,0.5069603769151959,0.7891848111743013,0.41634658252381845,0.28150781402704333,,0.2987720068685059,0.44975221935494664
AT21,0.14935806192057985,0.7963984457615096,0.8674169131745217,1.6754664136456783,1.852691708755051,1.0247536262023496,1.858009996809059,1.028947563730535,,0.7534827098376431,0.31948111037877575,0.284780020417166,1.2659585089900696,0.6591436405182971,1.0866897495593832,0.5473257340486546,0.9094304902250816,0.583017372874806,1.7205400710080772,0.7385269499246067,0.14990480914069484,,0.6327765600808013,0.4476431857812792,2.2293699919435532,1.447832709350279,6.383572553018446,2.277187216422231,1.0863634972618579,0.7949557102905571,0.10785862297483606,0.907923838048056,0.3866809541146369,0.8025360319372205,0.4328132563776416,1.3297803887898705,0.8085954161436586,1.2753715794715776,,0.2987865296270873,0.4497564487788228
AT22,0.14921589214349226,0.33145831659765873,1.0893670640738664,1.681849742960947,2.0990085646364935,0.981761720300036,2.1050891615320872,1.0293493489435022,,0.9372513106157709,0.3215452979151323,0.28763734367375793,3.0186279163088994,0.8310921151105317,1.259250742658432,0.5467172393055,0.9086073455093264,0.6360296708617523,0.9543523165546993,0.41043539528272116,0.1498697018086729,,0.6423258358345606,0.44742135432264263,2.2217537549580335,1.2435089247805746,6.378777376963039,1.4778759249480282,1.051971620345116,1.035509747933053,0.10807733487212434,0.9080524702483945,0.3866609882752228,0.8017451459570334,0.17042189976597424,1.2176347025015757,0.6865159407523078,0.33307488012266395,,0.2988393931034371,0.4497509106988542
AT31,0.14937863520730127,1.2534435418035932,1.3866054858343682,2.3819960852749484,2.8024170436346885,0.9514228944980834,2.8105503844484705,0.955927793572451,,0.4948918344041953,0.32152721474405327,0.2879064972999235,3.1221784566927577,0.866941826609088,1.790351573481545,0.5468764649562561,0.909266429042245,0.37876139267508957,1.605375695510979,1.6916700151250839,0.14990957280033995,,0.677486689643171,0.44753240672107464,2.220453394776249,2.7527941375676708,6.382572931149382,1.3873537595849452,0.6960086279678322,1.8440856704660658,0.10854830587120487,0.9089670016971024,0.38707382591712153,0.8015423557793595,0.30809024799937806,1.218146410822501,1.0076655170594928,0.8338423392114402,,0.2984528595573994,0.449747830789559
AT32,0.14866125949432313,0.4289387468230738,0.7996038397671684,1.6749081279898612,1.8518052555716547,1.0244965109263076,1.8569111914483745,1.0287595881177,,0.7674897106219847,0.315886786546362,0.280174761261147,0.5844479085837498,0.6067204978614508,1.0857202988523393,0.5457788789171901,0.9099735752318139,1.9023567556575522,0.3633809921482196,0.34975681057542457,0.14971780175520982,,0.9232084659661489,0.44634424847793874,2.2307170771397433,1.4888464225489668,6.386876160617497,0.5269669691643845,0.7639590753848132,0.41048446035692904,0.10808301014565046,0.9074168149852128,0.38678800076952474,0.8024944115614709,0.7407543666227151,,0.5890974695851993,0.5554934081220488,,0.14864879791016442,0.4497397388686261
AT33,0.14901412936148967,0.4616544820239837,0.7174819631971755,1.674922632879193,1.8523457960965528,1.024889697575633,1.85747848433219,1.0291787447329364,,0.7986707305149562,0.31645034285236673,0.2809310224653836,0.5476100244574901,0.5009444509041835,1.0862088846080655,0.5456015075576074,0.9099239810770322,2.7464206691889936,0.3821311516660255,0.3678602743643382,0.14981249194694143,,0.6685072178902501,0.44700138886234647,2.2299338637560013,1.5088515170558483,6.3868576721587305,0.15612534253460233,,0.454806442780324,0.10812083167376033,0.9077321735307173,0.386186637751535,0.8020599106632185,0.6852085695931014,,0.26668871686160256,0.48673235969091244,,0.14525792014865258,0.4497499485120845
AT34,0.14887464502830228,0.4522865625229091,0.7179049142892682,1.6756558810781146,1.8525138583804812,1.0252693021591341,1.857784223491502,1.0294486662190652,,0.7457396258946255,0.32303256922713747,0.2895411138528777,0.5315570027577322,0.5366750812020874,1.086526836749757,0.5459847619164092,,1.988295095083254,,0.3400981040266118,0.14978112942134497,,,0.4467282263699659,2.231096485849787,1.4123759332825718,,0.37217960885300605,,0.3083146910746912,0.10825643403009932,0.9074794261202925,0.386433223900752,0.8029612166388707,,,,0.3604417077159327,,0.1456746493933432,0.44974111276906
BE21,0.14439260976213078,0.6974446423479893,1.0993562349758508,1.6385095670317407,1.999824671878775,0.9612566792994119,2.802579680729275,0.9707775838306261,,0.5064104379297105,0.30920923115923055,0.27262912088848756,,0.5573861870293537,0.7646707974345436,0.5986518463432379,0.6121350949198129,1.741412707214258,0.6644482881994996,0.46920407222540894,0.14058501814582264,,0.9757724491564663,0.44176398429071295,2.369123657766771,0.20940236509018728,8.018585726279907,0.23954408929314475,1.163151003658003,0.6657995272544073,0.1125928472139947,1.1774606936011627,0.4581932880840357,0.8180808001257704,,0.7474005632983618,,1.706971490949024,0.1497433088943816,,0.449759819868158
BE22,0.1389309523936202,1.9474654521629553,0.9314377992195915,1.3970084454047789,1.7012804673004294,1.028632075011757,2.4957503203792757,1.0385595040939037,,1.5169595894571717,0.30977541387431695,0.27282853717787503,,0.4700578194595592,0.6459525074984531,0.599169036041122,0.6131978118270878,1.203475171171153,0.6754132683181437,0.5710699176605755,0.13220516642574107,,0.8935943785456343,0.4373596705816377,2.375256596189482,0.45179988699514384,8.023836280792633,0.3752861879873986,1.2832616650986404,0.7165958529112157,0.11254247584127591,1.177581558685094,0.4590626730559252,0.8188266960285315,,0.35879573508004203,,1.3069737289053824,0.14955515564734878,0.29811820586154986,0.4497134465511101
BE23,0.1426514953126813,1.9052109787737854,1.1110284432566768,1.6571458552642102,2.0228654968666473,0.9606943953943297,2.801600990079361,0.9646136080767532,,1.1733068968235285,0.30536873911593554,0.2676136424334103,,0.5634509274801439,0.7734419440149184,0.5990795425415772,0.6126599970992228,0.2089890705129862,0.6320209654090884,1.7176097890921291,0.13780822648449154,,0.9733821973651933,0.44111589668098455,2.36917386628516,0.16101526099977206,8.022643145332728,0.37250848261474956,1.0919095295894536,0.7678870589041918,0.11239569825504217,1.1775532445650005,0.4592376839587943,0.8182912847550399,,0.37270399976091784,,1.41814672563595,0.14968761350735377,0.29765723296286284,0.449750442398477
BE24,0.14317069069877203,0.6608721751248638,0.9965984330200264,1.485240110253261,1.816477550885298,0.9942429569447316,2.662043320371519,1.0207593203943108,,1.0815448525542741,0.3082856026681389,0.2706571431186501,,0.5037610285144674,0.6915517684819789,0.5997007429949256,0.6077269687595733,2.071077040164654,0.6325370745420602,0.5942177463394995,0.13862931290135025,,0.6340789392228784,0.4421222324893315,2.3779920831920123,0.46008323795041467,8.0266646147784,0.43569604103076953,1.4111241559027508,0.9061161295464204,0.11248482838678868,1.1773806651361802,0.45919865400949467,0.8194682145334914,,0.6769429725547539,,0.226218848720354,0.14970282581500408,0.2978566951630225,0.4497652645877393
BE25,0.13784867852195778,1.6739383033301156,1.2363561407984125,1.984354641836208,2.160275668230935,0.9600501581176509,2.802259399003416,0.9633134167334967,,0.9747028703620327,0.3080605044025007,0.2712434696477852,,0.5786340221475409,0.9299113039759886,0.5989964997683664,0.6118424756216688,0.15238196243552432,0.615018691201265,0.34620939116769067,0.13064523084446858,,0.8811054426382258,0.4404443711599948,2.3467821831003515,0.24339137747338174,8.015037341063135,0.40102406501272386,1.4349165890958744,0.600633701952905,0.11228393869146021,1.1774808136594614,0.4591942267721865,0.8153755561943613,,0.4160623078386654,,1.0358961366739814,0.14951395467976927,,0.44974545088368817
BE31,0.14023116166810604,1.5916928706825093,1.2385862660098657,2.118505012146393,2.159875062245328,0.9616581475740756,2.7947057931054684,0.9644713661097937,,1.3967438268888845,0.30942253880089665,0.27198867029525,,0.5794158273432326,0.9933314002254119,0.600063404861735,0.611970369022898,0.8088927384685629,0.6990386626728928,0.6863992792720194,0.1338971333447559,,0.8361313124587331,0.44397390989620583,2.380087965179048,0.4405015095290775,8.02725348839221,0.45015143059815405,1.4591606109156918,0.7258317663720321,0.11249567018659665,1.1773862331596112,0.4580488610750029,0.8206206138950566,,0.20046607358479962,,0.6725172382631123,0.1495983970268604,0.2978687046834156,0.44978266652568477
