model_region,activity,item,value
AT12,BULL,DRMX,-10.5360830109978
AT12,BULL,DAYS,138.885129548136
AT12,BULH,ENNE,66.6646740334621
AT12,BULH,CRPR,1.28630930946137
AT12,BULH,DRMN,6.99982829197886
AT12,BULH,DRMX,-10.4997424379683
AT12,BULH,DAYS,252.375441868022
AT12,HEIL,ENNE,53.943345454047
AT12,HEIL,CRPR,1.00403509128624
AT12,HEIL,DRMN,7.62120719948705
AT12,HEIL,DRMX,-11.4318107992306
AT12,HEIL,DAYS,189.902956106586
AT12,HEIH,ENNE,57.3937576608929
AT12,HEIH,CRPR,1.08019003864317
AT12,HEIH,DRMN,8.72647836393938
AT12,HEIH,DRMX,-13.0897175459091
AT12,HEIH,DAYS,396.17788499357
AT12,SCOW,ENNE,61.5176832209283
AT12,SCOW,CRPR,1.17580598705038
AT12,SCOW,DRMN,10.8914675054039
AT12,SCOW,DRMX,-13.0697610064847
AT12,SCOW,DAYS,365.0
AT12,HEIR,ENNE,37.0871758711345
AT12,HEIR,CRPR,0.710290797109831
AT12,HEIR,DRMN,8.26128256257816
AT12,HEIR,DRMX,-12.3919238438672
AT12,HEIR,DAYS,604.714326005589
AT12,CAMF,ENNE,24.6657063815515
AT12,CAMF,CRPR,0.467801684269027
AT12,CAMF,DRMN,2.73628076565696
AT12,CAMF,DRMX,-4.10442114848543
AT12,CAMF,DAYS,127.497048591593
AT12,CAFF,ENNE,26.0155323121578
AT12,CAFF,CRPR,0.49190000331135
AT12,CAFF,DRMN,2.73990601296598
AT12,CAFF,DRMX,-4.10985901944897
AT12,CAFF,DAYS,127.791235976193
AT12,CAMR,ENNE,24.1133990824067
AT12,CAMR,CRPR,0.470489842659157
AT12,CAMR,DRMN,3.36562315068493
AT12,CAMR,DRMX,-5.0484347260274
AT12,CAMR,DAYS,365.0
AT12,CAFR,ENNE,23.5775773658147
AT12,CAFR,CRPR,0.462688871915929
AT12,CAFR,DRMN,3.27000123287671
AT12,CAFR,DRMX,-4.90500184931507
AT12,CAFR,DAYS,365.0
AT12,PIGF,ENNE,19.5564906280085
AT12,PIGF,CRPR,0.461958886654812
AT12,PIGF,DRMN,2.30905135485982
AT12,PIGF,DRMX,-2.77086162583178
AT12,PIGF,DAYS,155.955821096003
AT12,SOWS,ENNE,30.8359600794281
AT12,SOWS,CRPR,0.729236207546371
AT12,SOWS,DRMN,3.59423132278202
AT12,SOWS,DRMX,-4.31307758733842
AT12,SOWS,DAYS,365.0
AT12,SHGM,ENNE,6.76926103178793
AT12,SHGM,CRPR,0.132192168290983
AT12,SHGM,DRMN,1.7917017746919
AT12,SHGM,DRMX,-2.68755266203785
AT12,SHGM,DAYS,365.0
AT12,SHGF,ENNE,2.91007682609503
AT12,SHGF,CRPR,0.0588600048743622
AT12,SHGF,DRMN,0.444625743933125
AT12,SHGF,DRMX,-0.666938615899687
AT12,SHGF,DAYS,274.127161957923
AT12,HENS,ENNE,835.140026541108
AT12,HENS,CRPR,18.4755423651764
AT12,HENS,DRMN,84.172385842326
AT12,HENS,DRMX,-157.823223454361
AT12,HENS,DAYS,365.0
AT12,POUF,ENNE,919.075743330739
AT12,POUF,CRPR,21.9436233976525
AT12,POUF,DRMN,74.3537960599439
AT12,POUF,DRMX,-111.530694089916
AT12,POUF,DAYS,55.2839962723273
AT12,DCOW,ENNE,113.779906790633
AT12,DCOW,CRPR,2.2763979748628
AT12,DCOW,DRMN,16.7984846846806
AT12,DCOW,DRMX,-20.1581816216167
AT12,DCOW,DAYS,365.0
AT12,BULF,ENNE,130.935608522312
AT12,BULF,CRPR,2.50585385921872
AT12,BULF,DRMN,14.6418485656169
AT12,BULF,DRMX,-21.9627728484253
AT12,BULF,DAYS,195.630285708049
AT12,HEIF,ENNE,90.3319786372938
AT12,HEIF,CRPR,1.69101022610343
AT12,HEIF,DRMN,13.2634920594274
