model_region,AGGT,APPL,ARAB,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,FLOW,FODD,FPEG,HEIF,HEIH,HEIL,HEIR,HENS,MAIF,NURS,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,UAAR
AT11,1.87125926071153,48.4617017172802,1.9990075789994401,4.94813026376429,1.4781237371784,2.59717088647855,0.406750283266056,0.271166855510704,1.7488945390253,0.12200961745534801,1.0,0.12180598010675099,1.0,1.6945690360702899,0.812095639160731,,9.08777902925075,8.60353019338384,5.16415986668624,6.883845028707911,4.01568592565732,535.256273301875,0.407476592146327,,1.98662852158023,0.396776744367278,0.26451782957818604,1.0,18.9106344930036,41.942529384190294,32.5040463882969,1.92512239083182,3.54226860479843,3.43685851261328,5.515390932131361,11.4171956189551,33.1567967907368,1.13609455942062,58.4554310098966,,0.763329305955506,39.2909977793717,,14.102342861389,0.105215924669088,1.69875012440486,34.212152825554,2.13349792713489,1.9722290556850801,2.79801964726905,52.8755334998921,1.68159569254473,3.70857304253218,0.501816919747664,0.0208931730633448,0.08494045801174871,18.5810322966181,2.58673863378902,69.3954936095324,2.64672397961016,4.550800642489761,,,3.80167672319413,3.60546211605813,304.94856971285606,4.9863300996069,1.91199403455966
AT12,1.67289892488849,48.2962508902533,1.9042781839950802,5.13213157734106,1.69869889463354,2.68415943860687,0.406731002797159,0.271154001864773,1.88199039137312,0.122009689902859,1.0,0.121797874985947,1.0,1.82920125879114,0.825640052460834,,10.0878125864709,8.01364354033055,4.81012224341512,6.4118828919195305,4.56686636561054,535.247540244138,0.472240935487733,,2.0350266701482997,0.39682139444633496,0.264547596297557,1.0,18.9127384388491,53.2074259164534,32.5125695156164,2.77921346090345,3.58584801863742,3.44246828949719,8.836622125654099,14.4812094661846,33.122877722446695,1.20938771293394,38.468558731348296,,0.7653580261935751,39.3165041392229,,16.1373295233,0.105209584342891,1.5443698690264,30.933046061977798,2.1335041220567,2.2542897116703897,3.00223029554501,65.6208143961061,1.81037199505955,4.39074257562125,0.502094129254587,0.0208918521382053,0.08485543009124061,18.5777035066702,2.86532696280218,71.6269613588242,2.7961748412602603,5.08148513125396,,,3.81012117438513,4.10680127111144,304.851771103299,4.98438194383069,1.65472450150345
AT21,1.01444506035077,44.4910899739981,1.68780230158341,5.87423026639408,0.714039500690751,1.7308938609781002,0.406755083817896,0.271170055878597,1.81404245791528,0.12201022569168199,1.0,0.121800337813225,1.0,1.29655808749493,1.245557463668,,12.3728192540174,7.71743140659627,4.6323176177445005,6.17487451217088,4.658410835634211,535.361457107467,0.293929327487784,,1.4502350924944898,0.396861977780708,0.264574651853805,1.0,18.905218478583702,48.7665585709726,32.6332396642988,7.30820306368369,3.63929511976325,3.4948648990005298,10.981563567188699,13.236986087093001,32.5472171319214,1.2560735694402299,,,0.7865977858935029,39.5868154563172,,23.704577010248798,0.10520383558263001,1.8492320174593202,23.3178717663303,2.13346547181023,3.57483926063114,2.77544188896343,59.7909077722254,1.2926066345741598,4.85498340639442,0.501974770816252,0.0208922534695707,0.08487099142445101,18.5756832229559,3.06000466949449,61.4206770457315,2.16591611623446,6.0609327083650895,,,3.79828387493605,3.2451431298840197,303.597375674359,4.97593522127428,0.6323317458590779
AT22,1.41015852960883,44.6125382100866,2.4951990898221603,6.10790371802559,1.13939997774839,2.02158375727015,0.40674942273417003,0.27116628182277996,1.9261301536932498,0.122009643451229,1.0,0.121798305506106,1.0,1.64324547937631,1.3695866715318301,,12.7188367122816,8.0205956171581,4.81428483567326,6.41744022641443,4.8524436092581,535.271606758454,0.3426030869512,,1.7533229069813998,0.396836046514457,0.264557364342972,1.0,18.9060314503375,56.3057919603878,32.6291041060151,5.1083481052114,3.63676180261247,3.49293120468531,7.4885186089334805,15.3946775810281,32.566499865374496,1.20128157538701,,,0.742248137188024,39.5771522046112,,21.3215908220095,0.105187530359344,1.58800650029605,28.246928216179,2.13350093830606,2.68052009618071,3.56184750898592,68.9639624420618,1.62813537226587,4.05424742530641,0.501921408265662,0.0208923212717189,0.08488972577632739,18.5729044771121,3.4830296413108397,65.5978996009029,2.67546553624645,6.425621549208969,,,3.79796254955454,4.14138421185698,303.640496356546,4.9677956149041105,1.14197653313776
AT31,1.31840689909987,56.7136312073812,1.2745067636435001,6.8364278717917895,1.7170808212562598,2.6329578855627003,0.40673880051959704,0.271159200346398,1.98605930492439,0.12200995295354601,1.0,0.121801913882063,1.0,1.91324394864345,1.084672699935,,11.0155003715366,8.05575911142233,4.83540332707949,6.44558121925111,3.23854574947806,538.240133876923,0.448262836301152,,2.01492820918772,0.39677707636288395,0.264518050908589,1.0,18.914191061619302,55.0462374421247,32.2781870868535,2.27282813023819,3.5900977453761,3.3534356185377803,6.07618196140818,15.218664426428301,34.2996130146003,1.2804489673292,43.4492497806555,,0.745250409782064,38.8227164518221,,28.1598821955467,0.10520043323290901,1.4073240812566101,30.2595212489979,2.13352509144536,2.5853614569360897,3.8559965218830796,72.2100949034546,1.89578510126698,4.661101392448041,0.502268125846199,0.020892935335433103,0.0849372464368411,18.5766972113185,3.09247282561443,84.2074228084911,2.2404912161535697,6.73340568737822,,,3.90423266413916,2.55566577376144,307.308349381374,5.01972112589999,0.825513054508856
AT32,0.987328867835046,44.2581740415369,4.8837483133465405,4.7263395731779205,0.869731079589379,1.6359823348759501,0.406738056677639,0.271158704451759,1.82669206231869,0.122009664316317,1.0,0.121810976654664,1.0,1.5733056022037,0.547418758561946,,10.329428030317,7.31085880436597,4.388277792664909,5.8495682985153,4.55286824319228,533.91055998504,0.27423341433854304,,1.37915973547594,0.39683540149581104,0.264556934330541,1.0,18.9361765107646,44.7010183772038,32.6302552264108,8.336025264311012,3.60450109150695,3.48765179088819,8.982586646848889,12.1167527792508,32.5424882221739,1.61538314320163,,,3.21019200802655,39.560168739465595,,26.5762163680088,0.105346841617226,1.6276556804116402,26.6357695974011,2.13346204478271,3.38278122674387,3.1669166746267,59.702345277740896,1.56226513307874,4.0951658951238805,0.502112268044004,0.0208938551239808,0.0850096004129946,18.5747527354197,2.92400062563152,,2.68998553530758,5.31096735905259,,,3.76897515961705,0.7046303261088329,303.65060004885305,,0.550795568174105
AT33,0.883455096097208,42.2252355038311,4.445107049074459,4.85185844725216,0.9337355240568109,1.51477525815072,0.406747219997356,0.27116481333157,1.82265377144428,0.12200939362117699,1.0,0.121809104662514,1.0,1.61817302180628,0.514629050247118,,10.243171294125599,7.37870331916471,4.42900063713091,5.90385197815438,3.9343249617166496,533.780559745065,0.212113114693667,,1.2211103039879698,0.396790760296774,0.264527173531183,1.0,18.915014893223802,33.412985606512706,32.694705887676996,4.27896846461087,3.59993169398188,3.51490518922352,6.63888240652003,9.25705326559353,32.2340851883885,0.953197864949061,,,2.09638825002539,39.700487647458104,,24.819607626428397,0.105390221548243,1.4810275469137801,28.1569817766963,2.13357489013633,0.855116254866806,,44.60582381369,1.59055950753518,4.278332522832891,0.5019889977005619,0.020891671506973002,0.0848430899733554,18.5588095243412,2.53435766714648,,1.00599516228944,4.31844833809575,,,3.75984089998519,0.6693103574731071,302.993106107709,5.0020050397703795,0.448348943085772
AT34,1.0359863334746,42.8937294456636,5.32446947372312,5.0169877962518505,0.996374355759047,1.51489213228815,0.40671991317960904,0.27114660878640595,2.0045134367824002,0.122009834378664,1.0,0.12180286165674499,1.0,1.79019454517756,0.514891700722814,,9.791290375794329,8.214753266692808,4.93082411152823,6.57278868911065,3.99436541092804,533.843834815765,0.23971496443360102,,1.27586006451912,0.396809846134784,0.264539897423189,1.0,,37.0846767962999,32.6751421766849,6.20404816848774,,3.5076322648401903,6.25080215379662,10.271864880793,32.3306910873383,,,,,39.6613602192248,,35.4104464644045,0.10466067360296201,1.40470188462317,22.9014450174732,,2.02524028270924,,52.0088769273153,1.77156124796822,2.83600117068772,0.501997088991697,0.0208917928849193,0.084849454620852,18.588745769086998,,,,3.26736217076313,,,3.76749212994234,0.682187903498666,303.188216956671,5.00570014480091,0.539768826376074
BE21,1.75953338404017,30.1506241392781,3.1888466438823797,4.728076909164219,0.930501407269144,2.33324518228323,0.434197198840913,0.289464799227275,2.16876665004451,0.149566814806262,0.999999999999967,0.122501830596858,1.00000000000027,2.02303360936328,1.08220546400059,,7.4058245015996,10.5970067706577,6.35728439990339,8.47714558454614,,138.066053418438,0.939190048394237,,1.59272297144614,0.507204310730076,0.338136207153373,1.00000000000023,17.9538004549769,44.1572017533214,163.423972308711,5.86381201810483,4.84287788533458,3.22067255915213,13.251243714858399,23.9874276516684,32.8685349056546,2.98203006018662,21.7964660013002,,3.0540838886472903,25.743729332610098,,34.2558577402673,0.0996179199563768,1.434090538894,41.5390900852498,1.71678936019292,3.08617803758699,3.31877974581739,76.8959701376777,2.0295967072316903,3.4445304999362403,0.5231917811282379,0.0195185988894465,0.0951109417029702,25.0189908716194,,188.08696558220203,,6.2316288498251495,,9.61277844004599,5.256773659512469,,432.216181047243,8.446764332714931,2.35270237877723
BE22,2.19091863038481,30.362704255608,4.6061292279862,6.843326666883501,0.7584266351731971,1.9930202535475101,0.434314749850632,0.28954316656709,2.03959673343041,0.149549376493046,0.999999999999966,0.122591639543247,1.00000000000027,1.79417261744702,1.15102109533123,,8.46527312504886,10.5691639180247,6.34057591604006,8.45486992056893,,138.033675278918,0.8642358480064191,,1.35840839154802,0.507205269771021,0.338136846514001,1.00000000000023,17.996063731878998,42.674548457805,163.483032189086,4.14271948512026,4.8222389337391,3.22096768756248,13.2568362474655,23.5368782279312,32.8948772878314,2.5832348910423697,22.6005648203104,,2.2243654531849804,25.7497352992274,,21.1332326029584,0.0996025300323751,1.4220850411733599,47.547180474251,1.71579972954488,3.51384208070289,3.76321974440892,74.3084737347952,1.8017230289978299,3.40481667774275,0.5230888904358649,0.0195288963383157,0.09536173260959209,25.0180234905494,,80.883453702389,,7.623764540049771,,9.613667963781019,5.27013600915434,3.39780798924772,432.21676391533305,8.45291297151775,3.69063611319099
