model_region,AGGT,ANNC,APPL,ARAC,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,EAAG,FLOW,FODD,FRUN,GRAS,HEIF,HEIH,HEIL,HEIR,HENS,LABT,MAIF,MODU,NURS,OANI,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SETF,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,VSET
AT11,432.491226493592,430.123929203806,2327.84041486313,429.752516725926,463.910017618767,429.880824554699,44.0834894995979,16.9725418136905,26.66665241741,332.083323395052,15.2380870956628,15.2380870956628,15.2380870956628,15.2380870956628,351.704709460323,453.659163274755,,429.964933991386,1039.15696657424,2060.2796424997,1549.71830492886,429.964933991386,101.467385416812,327.413819287498,580.996403874884,637.382565553859,888.007328758697,549.814872497942,263.192202771634,430.903646201093,430.903646201093,920.899803895026,18067.2050920177,429.964933991386,2.52883704854028,293.468735660117,33.945083627381,384.973088586312,463.910017618767,463.910017618767,293.468735660117,357.903248030338,2327.84041486313,418.501467813601,323.958164402957,,323.958164402957,357.903248030338,,615.194601393555,19.733567226322,168.072392417109,357.903248030338,460.449901947513,463.910017618767,463.910017618767,357.903248030338,351.952316664053,463.910017618767,660.055722942727,397.191749683888,3.80952177391571,55.3504632615828,50.6494892142265,429.964933991386,323.958164402957,429.964933991386,463.910017618767,,,323.958164402957,323.958164402957,357.903248030338,569.770725207687,429.964933991386
AT12,368.130522293085,445.852836006816,1435.57664112664,445.145491662991,474.336423845534,184.802252271576,19.5546516773571,7.62633030879501,11.1030096629413,346.763686748612,6.34457695025216,6.34457695025216,6.34457695025216,6.34457695025216,300.117749594616,470.980314065729,,459.083763227944,464.507081416435,907.438519830365,685.972800617175,459.083763227944,535.127594552243,321.196374556141,506.880672791463,836.197199974563,572.446400268035,201.506569133239,102.009112316663,146.354291257279,146.354291257279,341.72653020695,8951.36274322323,459.083763227944,11.4062015206354,305.943713938551,15.25266061759,381.278660304775,474.336423845534,474.336423845534,305.943713938551,371.159090912642,1435.57664112664,445.995716663261,355.906430295052,,355.906430295052,371.159090912642,,746.858861888522,7.32271136157749,55.9454703008601,371.159090912642,170.863265103475,474.336423845534,474.336423845534,371.159090912642,294.179761249471,474.336423845534,334.856460149797,401.905894325995,1.58614423756304,14.7005554124666,18.7949591613822,459.083763227944,355.906430295052,459.083763227944,474.336423845534,,,355.906430295052,355.906430295052,371.159090912642,780.074937423335,459.083763227944
AT21,286.897910961771,513.851164340025,2325.93104728244,510.374742595692,595.761272434216,195.161962041149,7.85882465329512,4.86387415376384,6.80942381526938,208.874760890161,3.89109932301107,3.89109932301107,3.89109932301107,3.89109932301107,202.42372452478,590.803632448396,,586.033524126689,274.37377819459,526.563131628633,400.468454911642,586.033524126689,115.884904605765,162.238704251238,362.341882938761,1785.83395097837,353.301917631449,71.838006265393,57.0352965803062,67.2239664880261,67.2239664880261,246.857709090994,5496.75585730933,586.033524126689,1.51259609137236,152.51095594371,9.72774830752769,351.79910578832,595.761272434216,595.761272434216,152.51095594371,329.067432913243,2325.93104728244,530.858295461798,,,319.339684605715,329.067432913243,,920.422050393879,5.28980805194986,42.6193255279808,329.067432913243,123.428854545497,595.761272434216,595.761272434216,329.067432913243,195.801376119784,595.761272434216,244.421803270651,566.180914058351,0.972774830752769,3.39622330257332,13.5771740000046,586.033524126689,319.339684605715,586.033524126689,595.761272434216,,,319.339684605715,319.339684605715,329.067432913243,2152.51095594371,586.033524126689
AT22,247.054993373037,479.213281659831,1371.57815812041,477.311144303833,520.90230408288,152.011398354806,6.42946555430223,3.40700097901945,4.76980137062723,177.220059053978,2.72560078321556,2.72560078321556,2.72560078321556,2.72560078321556,168.155777563457,516.901370170616,,514.088302124841,202.979063152754,383.773701544963,293.376382348798,514.088302124841,208.816793192107,222.467476026626,409.715283874399,1365.19426121934,410.468314730974,89.2029013417456,58.2555520721148,69.3594135986913,69.3594135986913,136.323045189441,4756.74422017811,514.088302124841,3.13708324521405,215.653474068587,6.8140019580389,344.369039285201,520.90230408288,520.90230408288,215.653474068587,345.148391341093,1371.57815812041,447.638608701209,,,338.334389383054,345.148391341093,,1002.60550646018,2.9212081112023,22.2684272625208,345.148391341093,68.1615225947203,520.90230408288,520.90230408288,345.148391341093,163.412876916093,520.90230408288,246.862314254268,482.873900680813,0.68140019580389,3.70128717552548,7.49776748541924,514.088302124841,338.334389383054,514.088302124841,520.90230408288,,,338.334389383054,338.334389383054,345.148391341093,1523.66880052727,514.088302124841
AT31,237.281045992188,449.9125270525,2378.87350626225,449.46818114075,475.16453110155,123.383038453577,8.21665056626814,3.3417095782566,4.6813483752168,139.651918134962,2.6750562144096,2.6750562144096,2.6750562144096,2.6750562144096,135.247758165969,473.112596356604,,468.481111945037,142.797120625064,263.414037869094,203.105579247086,468.481111945037,285.95001201739,308.71644363031,450.834760738113,1843.51982955972,460.627876800182,108.166754294526,60.8067934211896,73.8270409252297,73.8270409252297,136.72927632707,4600.34995670949,468.481111945037,5.77328165728489,302.033024473797,6.68341915651319,396.824170765487,475.16453110155,475.16453110155,302.033024473797,356.879455593975,2378.87350626225,432.608021363904,350.196036437462,,350.196036437462,356.879455593975,,951.612170959397,2.9299130641515,20.9504091122663,356.879455593975,68.3646381635349,475.16453110155,475.16453110155,356.879455593975,132.705614903815,475.16453110155,251.968174056027,448.845159514422,0.6687640536024,4.33951965074525,7.52011019798884,468.481111945037,350.196036437462,468.481111945037,475.16453110155,,,350.196036437462,350.196036437462,356.879455593975,2302.0330244738,468.481111945037
AT32,289.208953905926,1427.77435923345,2024.62656565171,1397.87927630046,2110.09043046351,166.033626356847,11.6325494408257,7.49626907484732,10.7840817789218,180.72943568803,6.16233244509819,6.16233244509819,6.16233244509819,6.16233244509819,176.838243495081,2109.64907414496,,2095.09789231381,186.009995305964,350.248858814433,268.129427060188,2095.09789231381,93.89630083664,128.970067871517,313.105026135814,1533.37959731545,304.60439158464,73.0794274743531,60.0765670694428,72.8354949181508,72.8354949181508,1945.24529481626,5773.19685843733,2095.09789231381,0.680011973856956,113.977529721822,14.9925381496946,232.710220411142,2110.09043046351,2110.09043046351,113.977529721822,288.382044327094,2024.62656565171,1445.1638068922,,,273.389506177399,288.382044327094,,774.783883619791,41.6838277460628,188.983642549106,288.382044327094,972.622647408131,2110.09043046351,2110.09043046351,288.382044327094,172.689411770625,2110.09043046351,250.834978619365,1964.51636235783,1.54058311127455,4.19787022116256,106.988491214894,2095.09789231381,,2095.09789231381,2110.09043046351,,,273.389506177399,273.389506177399,288.382044327094,,2095.09789231381
AT33,286.621176104416,1298.08290711076,1817.56251492423,1284.31770736913,1925.91345599733,127.921576914087,9.79298140131997,6.84065755158108,9.78063297064623,184.767105796437,5.58893312608356,5.58893312608356,5.58893312608356,5.58893312608356,171.69074428221,1925.73161647824,,1912.23214089417,201.689827533915,381.486248019332,291.58803777698,1912.23214089417,122.063189540535,104.808735109423,319.26645088958,1381.29184906837,302.258594310122,62.3486196448284,58.3426000206548,69.715459907069,69.715459907069,1711.16399385166,5683.59498317102,1912.23214089417,0.722817310001273,91.1274200062605,13.6813151031622,321.045999467255,1925.91345599733,1925.91345599733,91.1274200062605,284.529772027614,1817.56251492423,1441.9797366285,,,270.848456924452,284.529772027614,,715.97389164579,36.6677998682498,113.959520577115,284.529772027614,855.58199692583,1925.91345599733,,284.529772027614,162.551120134515,1925.91345599733,247.269224320986,353.891209593851,1.39723328152089,3.75215093386515,94.1140196618412,1912.23214089417,,1912.23214089417,1925.91345599733,,,270.848456924452,270.848456924452,284.529772027614,2091.12742000626,1912.23214089417
AT34,295.010762240576,1376.31350588253,2198.19550602861,1348.07918181407,1941.81310544421,125.855616096859,11.4662383676697,8.10768506737983,11.3507590943318,189.842281608028,6.48614805390386,6.48614805390386,6.48614805390386,6.48614805390386,176.239444967747,1941.36490542102,,1925.59773530945,193.291286372778,364.398147985011,278.844717178906,1925.59773530945,40.495621408478,129.520996797552,337.6683955741,1681.57472396191,310.691142482673,69.3774508253287,61.4451746734838,74.9412531510871,74.9412531510871,,6115.51705368542,1925.59773530945,0.265210156082319,113.305626662793,16.2153701347597,165.7207097446,,1941.81310544421,113.305626662793,221.419642563102,2198.19550602861,,,,,221.419642563102,,795.067356223562,48.0091438497627,179.850317890793,221.419642563102,,1941.81310544421,,221.419642563102,171.879546027163,1941.81310544421,253.241559457006,459.003929948525,1.62153701347597,4.49869282586774,123.223469214391,,,,1941.81310544421,,,205.204272428342,205.204272428342,221.419642563102,2113.30562666279,1925.59773530945
BE21,81.1171187313778,486.00079740973,613.110518548014,485.999022294413,489.397731083469,4.35084092371716,0.388074483984024,0.141883996953091,0.357572286079702,3.53196761368223,0.204327020616973,0.204327020616973,0.204327020616973,0.204327020616973,3.62834187444773,489.206953653216,,489.113963089563,2.70141673092635,5.62988301948895,4.16564987478871,,45.5412875588348,480.776346401088,486.668827142195,622.296240682875,487.571028197071,3.24641536311412,2.54218454069525,4.60775763656206,4.60775763656206,4.34019016034614,3601.60758254837,489.113963089563,2.34508291987375,480.492578407181,0.283767993906182,481.840537542935,489.397731083469,489.397731083469,480.492578407181,481.834464406223,613.110518548014,488.862060947551,481.550696412316,,481.550696412316,482.980569180112,,512.821733723704,0.0930040748645602,0.819953454508616,481.834464406223,2.17009508017307,489.397731083469,489.397731083469,481.834464406223,3.64845493160933,489.397731083469,5.26600872749949,488.952926741078,0.0510817551542432,0.658251090937437,0.238710458819038,,481.550696412316,,489.397731083469,,612.826750554108,481.550696412316,,482.980569180112,954.26891015871,489.113963089563
BE22,131.211369650975,417.603956010593,513.439476530389,417.597267467215,427.183076711008,21.4067858937773,2.06426566151408,0.984691285480048,2.12641040954681,20.7785729400224,1.21509166259818,1.21509166259818,1.21509166259818,1.21509166259818,20.8989149687931,426.544595043177,,425.213694140047,18.7252262727735,38.5187991310823,28.6220127155481,,39.6925320864132,404.29963778699,425.005417721433,520.657573909763,433.708583855605,13.2434601895501,12.1639775448193,22.0348033133085,22.0348033133085,30.4485796435971,5326.7916753042,425.213694140047,1.8260819811172,402.33025521603,1.9693825709601,404.425913730687,427.183076711008,427.183076711008,402.33025521603,405.558350247752,513.439476530389,411.302515040358,403.588967676792,,403.588967676792,406.503678628177,,435.158276434624,0.652469563791367,5.63030874878508,405.558350247752,15.2242898217986,427.183076711008,427.183076711008,405.558350247752,20.9346527434522,427.183076711008,25.1826323580668,424.934697185363,0.303772915649544,3.14782904475836,1.67467188039784,,403.588967676792,,427.183076711008,,511.470093959429,403.588967676792,403.588967676792,406.503678628177,791.913396665697,425.213694140047
