exporter,importer,SWHE,DWHE,BARL,CORN,OCER,RAPE,SUNF,SOYA,OOIL,SUGB,SUGR,POTA,PULS,TOMA,OVEG,APPL,OFRU,CITR,WINE,OLIV,MILK,BUTR,SKIM,CHES,WHEY,BEEF,PORK,POUL,SHGM,EGGS,FATS,OFOD_M
EU27,BGD,56.69398,0.0,0.00827,0.0,0.0,61.20829,0.0,0.0,0.0,0.0,0.69208,2.00312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04117,0.0,0.00124,0.0,0.0,0.0,0.00156,0.0,0.00174,0.0,0.0
EU27,NGA,95.99752000000001,0.0,0.07596,0.00289,0.0,0.0,0.0,0.956,0.0,0.0,1.37774,0.016460000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3366099999999999,2.00835,0.0,0.20095,0.0,0.013130000000000001,0.01061,3.0061799999999996,0.0,0.38842000000000004,0.0,0.0
EU27,ZAF,103.55700999999999,0.0,40.811769999999996,0.27174,0.0,0.13357,0.02709,0.00537,0.0,0.0,0.04836,0.13915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12384,1.28205,0.0,1.4978399999999998,0.0,0.00211,4.70796,2.3468400000000003,0.0,0.006019999999999999,0.0,0.0
EU27,ETH,108.51408,0.0,0.0,0.34206,0.0,0.01056,0.0,0.00787,0.0,0.0,0.12329000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067800000000000004,0.005730000000000001,0.0,0.02838,0.0,0.00015,0.00726,0.00625,0.0,0.0,0.0,0.0
EU27,EGY,1064.9296299999999,0.0,2.0514200000000002,45.87301,0.0,0.00117,0.40758999999999995,0.0,0.0,0.0,6.70071,49.84139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047,10.47674,0.0,4.67296,0.0,0.0395,0.027,0.06594,0.0,0.02524,0.0,0.0
EU27,MAR,1428.30886,0.0,250.34086,54.1335,0.0,6.5233,31.772080000000003,1.05743,0.0,0.0,0.08270999999999999,25.15747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1115,18.39957,0.0,2.23983,0.0,0.73294,0.00591,0.08949,0.0,0.37405,0.0,0.0
EU27,DZA,2515.38819,0.0,138.95951000000002,61.108239999999995,0.0,0.06367,0.1373,0.14246999999999999,0.0,0.0,1.61832,96.3721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24373,3.05267,0.0,7.77789,0.0,0.48691,0.0143,0.00521,0.0,2.3039699999999996,0.0,0.0
EU27,SAU,3.30738,0.0,2163.70615,0.80424,0.0,0.0028799999999999997,0.02709,0.24316,0.0,0.0,0.02097,13.980450000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12949000000000002,18.162380000000002,0.0,21.047580000000004,0.0,0.09409000000000001,0.04253,100.12322999999999,0.0,1.24417,0.0,0.0
EU27,IRN,214.42439000000002,0.0,132.69389,185.49996,0.0,0.016460000000000002,0.03407,5.9999999999999995e-05,0.0,0.0,17.930169999999997,1.7781500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00121,7.01866,0.0,0.00767,0.0,0.84982,0.00299,7.48402,0.0,0.32973,0.0,0.0
EU27,ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,EU27,1576.08247,0.0,12.56889,278.47045,0.0,1.38815,109.24716000000001,3951.44706,0.0,0.0,0.6164299999999999,0.06845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10682,0.32044,0.0,0.42952999999999997,0.0,0.1706,4.83965,140.31106,0.0,3.74905,0.0,0.0
USA,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,CAN,19.420759999999998,0.0,33.71449,2499.1297200000004,0.0,217.52160999999998,17.81271,190.30973999999998,0.0,0.0,1.15143,248.16387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18759,1.32527,0.0,3.80688,0.0,2.45678,35.32557,91.9155,0.0,32.89392,0.0,0.0
USA,BRA,241.24602,0.0,0.80865,9.6495,0.0,0.0103,0.0011799999999999998,44.80896,0.0,0.0,0.00551,0.01715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013300000000000001,0.0,0.41561000000000003,0.0,0.05443,0.05056,0.02529,0.0,0.56787,0.0,0.0
USA,ARG,0.25911,0.0,0.74425,6.2016,0.0,0.022879999999999998,0.52591,35.12256,0.0,0.0,2.9999999999999997e-05,0.02336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41736,0.0,0.0035,2.9999999999999997e-05,0.019440000000000002,0.0,0.030420000000000003,0.0,0.0
USA,AUS,0.0016899999999999999,0.0,0.0,8.46585,0.0,0.01154,0.37709,15.704379999999999,0.0,0.0,0.168,0.03201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08376,0.0,0.03947,0.0,0.00638,0.19625,0.66518,0.0,0.01402,0.0,0.0
USA,NZL,0.54222,0.0,0.20504,4.90622,0.0,0.0034,0.35735,0.009949999999999999,0.0,0.0,0.00984,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0198,0.0,0.0005200000000000001,0.476,0.83717,0.0,0.0055,0.0,0.0
USA,CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,IND,6.2040500000000005,0.0,0.009970000000000001,1.1302699999999999,0.0,0.0,0.00065,0.18808000000000002,0.0,0.0,0.01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217,0.0,0.00723,0.0,0.00027,2.9999999999999997e-05,1.06992,0.0,0.13574,0.0,0.0
USA,RUS,46.639900000000004,0.0,0.00492,107.46763,0.0,0.0,0.36759,8.42424,0.0,0.0,0.00041999999999999996,1.82814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01377,2.07365,0.0,0.053579999999999996,0.0,0.06107,17.36324,842.5078100000001,0.0,0.15015,0.0,0.0
USA,UKR,17.95816,0.0,0.0,7.120100000000001,0.0,0.0,0.23873,1.9075199999999999,0.0,0.0,13.52462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026269999999999998,0.09262999999999999,0.0,0.0,0.0,0.00023,0.04437,55.080580000000005,0.0,0.0,0.0,0.0
USA,TUR,28.95613,0.0,0.0016899999999999999,633.0292099999999,0.0,0.00937,8.41777,346.10614000000004,0.0,0.0,0.00164,0.00184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00313,0.0,0.04088,0.02683,56.28431,0.0,0.43726,0.0,0.0
USA,MEX,1912.1789899999999,0.0,59.96123,5154.80307,0.0,38.38172,3.7134899999999997,2898.54923,0.0,0.0,3.40201,31.91914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.977490000000003,1.05074,0.0,15.77055,0.0,16.787,140.22567999999998,235.25336,0.0,9.21885,0.0,0.0
USA,IDN,293.14542,0.0,0.00881,151.08054,0.0,0.01566,0.012230000000000001,1110.1751299999999,0.0,0.0,0.09601000000000001,0.07504000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015400000000000001,0.00133,0.0,0.07779000000000001,0.0,0.21744,0.02906,2.3291999999999997,0.0,0.15172,0.0,0.0
USA,JPN,2967.0052,0.0,312.725,15187.652259999999,0.0,3.0562,2.5581,3174.55604,0.0,0.0,0.1174,0.1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,0.01911,0.0,4.89296,0.0,7.32943,116.8343,61.733230000000006,0.0,0.28781,0.0,0.0
USA,KOR,689.61101,0.0,0.5704,2968.03332,0.0,0.0,0.5154500000000001,1118.48582,0.0,0.0,0.07257,4.057300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014299999999999998,0.044289999999999996,0.0,3.29321,0.0,61.32283,5.15686,53.34597,0.0,0.13235,0.0,0.0
USA,THA,364.36608,0.0,0.0,19.42468,0.0,0.013359999999999999,0.18925,620.7189599999999,0.0,0.0,0.019710000000000002,0.86094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07379999999999999,0.0,0.06489,0.0019299999999999999,0.0010500000000000002,0.0,0.00455,0.0,0.0
USA,VNM,32.25204,0.0,0.0,3.7648200000000003,0.0,0.0,0.0,1.6496099999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09951,0.00069,0.0,0.00054,0.0,0.00337,0.00908,4.632020000000001,0.0,0.00382,0.0,0.0
USA,PAK,263.08362,0.0,0.0,2.34047,0.0,1.80888,0.2595,44.46,0.0,0.0,0.0277,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034100000000000003,0.0,0.0087,0.0,0.00017,0.01214,1.24326,0.0,0.03596,0.0,0.0
USA,BGD,132.10358,0.0,0.0,1.7568499999999998,0.0,0.0,0.0,0.00231,0.0,0.0,0.00435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00743,0.0086,0.07153,0.0,0.0,0.0,0.0
