region,SWHE,DWHE,RYEM,BARL,OATS,CORN,OCER,PULS,SUGB,POTA,TOMA,OVEG,APPL,OFRU,CITR,TAGR,WINE,OLIV,GRAS,TOBA,COTT,OFIB,MAIF,OFOD,SETA,RAPE,SUNF,SOYA,OOIL
DE11,85.5,0.2,6.434210526315789,87.0,8.042763157894738,45.039473684210535,8.042763157894738,2.5,14.7,3.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,144.7,0.1,2.0,1.0,25.4,5.0,3.0,29.0,0.5,6.0,0.1
DE12,36.4,0.2,6.434210526315789,30.8,8.042763157894738,45.039473684210535,8.042763157894738,1.0,4.9,0.7,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,56.6,0.7,2.0,1.0,7.8,5.0,3.0,10.1,0.3,6.0,2.0
DE13,25.0,6.434210526315789,6.434210526315789,25.0,8.042763157894738,45.039473684210535,8.042763157894738,1.1,0.3,1.8,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,168.4,1.0,2.0,1.0,9.8,5.0,3.0,8.4,1.1,6.0,0.1
DE14,59.0,6.434210526315789,6.434210526315789,58.9,8.042763157894738,45.039473684210535,8.042763157894738,2.7,0.8,1.2,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,195.4,1.0,2.0,1.0,25.8,5.0,3.0,22.6,0.1,6.0,0.3
DE21,97.5,0.4,6.434210526315789,68.9,8.042763157894738,45.039473684210535,8.042763157894738,3.5,8.2,17.9,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,350.9,1.0,2.0,1.0,79.8,5.0,3.0,30.0,0.1,6.0,0.1
DE22,93.6,0.1,6.434210526315789,52.9,8.042763157894738,45.039473684210535,8.042763157894738,2.0,21.8,11.3,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,143.7,1.0,2.0,1.0,54.2,5.0,3.0,18.4,0.4,6.0,0.1
DE23,35.7,6.434210526315789,6.434210526315789,85.3,8.042763157894738,45.039473684210535,8.042763157894738,2.5,6.0,9.3,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,122.9,1.0,2.0,1.0,37.4,5.0,3.0,23.8,0.1,6.0,0.2
DE24,27.5,6.434210526315789,6.434210526315789,77.4,8.042763157894738,45.039473684210535,8.042763157894738,3.5,1.2,1.8,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,92.6,1.0,2.0,1.0,19.0,5.0,3.0,22.6,0.4,6.0,0.1
DE25,41.4,0.2,6.434210526315789,69.9,8.042763157894738,45.039473684210535,8.042763157894738,2.6,5.6,3.5,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,98.8,0.8,2.0,1.0,38.3,5.0,3.0,20.7,0.3,6.0,0.1
DE26,77.3,0.7,6.434210526315789,71.5,8.042763157894738,45.039473684210535,8.042763157894738,2.5,21.8,1.0,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,60.3,1.0,2.0,1.0,15.7,5.0,3.0,32.2,3.7,6.0,0.1
DE27,67.7,0.1,6.434210526315789,45.2,8.042763157894738,45.039473684210535,8.042763157894738,2.1,8.4,6.7,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,278.1,1.0,2.0,1.0,43.5,5.0,3.0,18.2,0.1,6.0,2.0
DE30,0.1,0.024,0.3,0.1,0.03,0.168,0.1,6.231578947368422,8.0,0.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.8,1.0,2.0,1.0,0.1,5.0,3.0,0.1,12.0,6.0,2.0
DE40,157.5,0.1,172.7,100.8,24.445,20.6,32.3,20.8,6.7,11.6,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,301.6,0.1,2.0,1.0,212.1,5.0,3.0,77.3,11.1,0.6,1.0
DE50,0.4,0.024,0.1,0.1,0.03,0.168,0.03,6.231578947368422,8.0,5.0,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,6.4,1.0,2.0,1.0,0.6,5.0,3.0,0.2,12.0,6.0,2.0
DE60,1.3,0.096,0.3,0.7,0.12,0.672,0.12,0.1,0.02,0.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,6.9,1.0,2.0,1.0,0.9,5.0,3.0,0.7,12.0,6.0,0.1
DE71,49.4,0.2,6.434210526315789,28.4,8.042763157894738,45.039473684210535,8.042763157894738,1.7,11.4,3.6,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,73.6,1.0,2.0,1.0,7.9,5.0,3.0,12.0,0.1,6.0,0.3
DE72,33.9,0.1,6.434210526315789,27.5,8.042763157894738,45.039473684210535,8.042763157894738,2.5,1.5,0.6,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,83.0,1.0,2.0,1.0,6.4,5.0,3.0,15.0,0.1,6.0,0.1
DE73,63.7,0.2,6.434210526315789,48.3,8.042763157894738,45.039473684210535,8.042763157894738,3.7,5.8,0.9,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,118.1,1.0,2.0,1.0,9.8,5.0,3.0,29.2,12.0,6.0,0.1
DE80,307.0,21.78,69.1,142.1,27.225,6.4,15.1,27.1,30.2,13.3,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,270.6,1.0,2.0,1.0,171.2,5.0,3.0,178.8,1.2,0.3,0.2
DE91,135.7,6.434210526315789,6.434210526315789,53.9,8.042763157894738,45.039473684210535,8.042763157894738,1.6,49.9,11.8,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,47.9,1.0,2.0,1.0,6.6,5.0,3.0,21.4,12.0,6.0,0.2
DE92,130.8,6.434210526315789,6.434210526315789,64.7,8.042763157894738,45.039473684210535,8.042763157894738,3.3,37.8,17.9,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,78.3,1.0,2.0,1.0,22.9,5.0,3.0,28.5,12.0,6.0,0.1
DE93,65.4,6.434210526315789,6.434210526315789,82.5,8.042763157894738,45.039473684210535,8.042763157894738,2.9,24.4,48.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,301.6,0.1,2.0,1.0,81.2,5.0,3.0,23.4,0.1,6.0,0.1
DE94,73.6,6.434210526315789,6.434210526315789,96.0,8.042763157894738,45.039473684210535,8.042763157894738,1.3,1.4,48.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,353.8,1.0,2.0,1.0,121.7,5.0,3.0,16.2,12.0,6.0,0.2
DEA1,35.7,6.434210526315789,6.434210526315789,15.5,8.042763157894738,45.039473684210535,8.042763157894738,0.9,19.7,13.4,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,61.8,1.0,2.0,1.0,26.0,5.0,3.0,2.9,0.1,6.0,2.0
DEA2,65.4,6.434210526315789,6.434210526315789,22.1,8.042763157894738,45.039473684210535,8.042763157894738,1.0,40.1,9.1,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,112.9,1.0,2.0,1.0,10.4,5.0,3.0,3.3,0.2,6.0,2.0
DEA3,54.0,6.434210526315789,6.434210526315789,68.9,8.042763157894738,45.039473684210535,8.042763157894738,0.7,1.1,3.7,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,71.5,1.0,2.0,1.0,61.6,5.0,3.0,8.1,12.0,6.0,2.0
DEA4,64.9,6.434210526315789,6.434210526315789,64.1,8.042763157894738,45.039473684210535,8.042763157894738,2.1,6.0,2.5,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,72.2,1.0,2.0,1.0,20.1,5.0,3.0,23.7,12.0,6.0,0.1
DEA5,40.9,6.434210526315789,6.434210526315789,29.6,8.042763157894738,45.039473684210535,8.042763157894738,1.0,3.0,2.2,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,114.3,1.0,2.0,1.0,9.8,5.0,3.0,14.1,0.1,6.0,2.0
DEB1,37.4,0.1,6.434210526315789,48.0,8.042763157894738,45.039473684210535,8.042763157894738,1.8,1.8,1.3,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,99.7,1.0,2.0,1.0,5.5,5.0,3.0,20.6,0.3,6.0,0.1
DEB2,9.1,6.434210526315789,6.434210526315789,21.1,8.042763157894738,45.039473684210535,8.042763157894738,1.0,0.1,0.3,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,103.8,0.1,2.0,1.0,7.2,5.0,3.0,4.3,0.1,6.0,0.8
DEB3,39.3,1.1,6.434210526315789,42.9,8.042763157894738,45.039473684210535,8.042763157894738,1.4,19.9,7.2,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,40.4,1.1,2.0,1.0,3.6,5.0,3.0,7.5,0.3,6.0,0.2
DEC0,8.4,0.1,2.7,5.0,0.97,0.2,1.9,0.6,8.0,0.2,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,39.5,1.0,2.0,1.0,4.9,5.0,3.0,2.8,0.1,6.0,0.1
DED2,51.47368421052632,6.434210526315789,6.434210526315789,35.38815789473684,8.042763157894738,45.039473684210535,8.042763157894738,6.231578947368422,8.0,5.0,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,55.0,1.0,2.0,1.0,15.0,5.0,3.0,18.0,12.0,6.0,2.0
DED4,51.47368421052632,6.434210526315789,6.434210526315789,35.38815789473684,8.042763157894738,45.039473684210535,8.042763157894738,6.231578947368422,8.0,5.0,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,55.0,1.0,2.0,1.0,15.0,5.0,3.0,18.0,12.0,6.0,2.0
DED5,51.47368421052632,6.434210526315789,6.434210526315789,35.38815789473684,8.042763157894738,45.039473684210535,8.042763157894738,6.231578947368422,8.0,5.0,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,55.0,1.0,2.0,1.0,15.0,5.0,3.0,18.0,12.0,6.0,2.0
DEE0,297.4,9.0,74.3,119.1,27.09,18.4,18.3,20.7,48.6,15.4,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,174.1,0.1,2.0,1.0,159.2,5.0,3.0,100.5,4.7,1.2,1.0
DEF0,145.8,12.24,28.7,81.2,15.3,1.4,6.7,12.5,9.9,6.4,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,321.3,0.09,2.0,1.0,187.1,5.0,3.0,67.2,12.0,0.1,0.1
DEG0,202.4,7.8,10.5,110.7,17.985,5.7,12.8,12.9,11.1,1.7,1.6142105263157895,1.6142105263157895,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,0.7011403508771931,168.4,0.1,2.0,1.0,63.1,5.0,3.0,98.6,1.1,0.5,0.1
FR10,194.29,3.62,0.44,100.77,20.46593181818182,51.28,4.32,18.72,43.42,5.47,6.241590909090909,6.241590909090909,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,35.86,4.6,2.0,1.0,1.61,5.0,3.0,60.71,6.2,2.8,1.03
FRB0,375.7664,46.9708,46.9708,258.3394,58.7135,328.79560000000004,58.7135,39.69,8.0,5.0,6.241590909090909,6.241590909090909,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,55.0,1.0,2.0,1.0,15.0,5.0,3.0,18.0,12.0,6.0,2.0
FRC1,229.824,28.728,28.728,158.00400000000002,35.910000000000004,201.09600000000003,35.910000000000004,28.8,8.0,5.0,6.241590909090909,6.241590909090909,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,7.397651515151515,55.0,1.0,2.0,1.0,15.0,5.0,3.0,18.0,12.0,6.0,2.0
